runtime,budget,num_actors,num_directors,num_screenwriters,num_producers,num_operators,num_composers,num_art_direction_by,num_editing_by,genre_anime,genre_biography,genre_thriller,genre_western,genre_military,genre_detective,genre_baby,genre_documentary,genre_drama,genre_story,genre_comedy,genre_concert,genre_short,genre_crime,genre_melodrama,genre_music,genre_cartoon,genre_musical,genre_adventure,genre_family,genre_sport,genre_thriller,genre_the horrors,genre_fantasy,genre_film noir,genre_fantasy,country_anime,country_biography,country_thriller,country_western,country_military,country_detective,country_baby,country_documentary,country_drama,country_story,country_comedy,country_concert,country_short,country_crime,country_melodrama,country_music,country_cartoon,country_musical,country_adventure,country_family,country_sport,country_thriller,country_the horrors,country_fantasy,country_film noir,country_fantasy,type_video,type_movie,type_animated,type_documentary,type_other,type_popular-science,type_art,age_0,age_12,age_14,age_16,age_18,age_6,title_uais,pr_week - 8,pr_week - 7,pr_week - 6,pr_week - 5,pr_week - 4,pr_week - 3,pr_week - 2,pr_week - 1,pr_week
126.0,37500000.0,10,1,3,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1+1: Голливудская история,89.0,83.0,88.0,81.0,81.0,85.0,87.0,88.0,87.0
111.0,14093397.0,10,1,1,3,1,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100 вещей и ничего лишнего,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149.0,56715371.0,10,1,2,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001 год: Космическая одиссея,8.523882896764253,8.563944530046225,9.11402157164869,9.36979969183359,10.009244992295839,11.006163328197227,12.912172573189522,20.189522342064716,0.0
99.0,28539757.0,10,1,2,3,1,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 мост,8.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,6.0
94.0,50000000.0,10,1,2,3,1,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,22 мили,4.0,6.0,3.0,9.0,5.0,7.0,8.0,15.0,85.0
97.0,223649.0,10,1,1,3,1,1,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 безумных желаний,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,62890.0,10,3,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 социопатов,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,70000000.0,10,1,3,3,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8 подруг Оушена,4.0,4.0,3.0,4.0,4.0,6.0,8.0,13.0,40.0
97.0,65000000.0,10,2,3,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Angry Birds 2 в кино,4.0,4.0,8.0,4.0,0.0,16.0,10.0,18.0,47.0
90.0,383788.0,10,1,1,3,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEEF: РУССКИЙ ХИП-ХОП,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0
