Weekend_Dates,Days,Movie_Name,Revenue,Viewers,Shows,Average_Revenue_Per_Show,Average_Viewers_Per_Show,Revenue_Share,Shows_Share
26.03 - 29.03.2020,3,Тролли. Мировой тур,2673231,13937,2827,945,4,27.61%,31.15%
26.03 - 29.03.2020,3,Бладшот,1434981,6115,1174,1222,5,14.82%,12.94%
26.03 - 29.03.2020,3,Джентльмены,1013955,4100,669,1515,6,10.47%,7.37%
26.03 - 29.03.2020,3,Отдай свою душу,827829,3369,602,1375,5,8.55%,6.63%
26.03 - 29.03.2020,3,"Отель ""Белград""",717472,3340,723,992,4,7.41%,7.97%
26.03 - 29.03.2020,3,Человек-невидимка,547795,2382,397,1379,6,5.66%,4.38%
26.03 - 29.03.2020,3,Туннель: опасно для жизни,458814,1800,310,1480,5,4.74%,3.42%
26.03 - 29.03.2020,3,Вперед,371177,2084,499,743,4,3.83%,5.50%
26.03 - 29.03.2020,3,Кукла 2: Брамс,285238,1357,258,1105,5,2.95%,2.84%
26.03 - 29.03.2020,3,Верю в любовь,227835,1061,294,774,3,2.35%,3.24%
26.03 - 29.03.2020,3,Страшные истории для рассказа у костра,42077,171,56,751,3,0.43%,0.62%
26.03 - 29.03.2020,3,HUMAN LOST: Исповедь неполноценного человека,46864,230,80,585,2,0.48%,0.88%
26.03 - 29.03.2020,3,Холоп,69948,318,83,842,3,0.72%,0.91%
26.03 - 29.03.2020,3,Удивительное путешествие Доктора Дулиттла,80142,432,108,742,4,0.83%,1.19%
26.03 - 29.03.2020,3,Зов предков,80818,442,90,897,4,0.83%,0.99%
26.03 - 29.03.2020,3,Соник в кино,88153,512,119,740,4,0.91%,1.31%
26.03 - 29.03.2020,3,Номер 1,118586,566,208,570,2,1.22%,2.29%
26.03 - 29.03.2020,3,Лёд 2,188394,932,231,815,4,1.95%,2.55%
26.03 - 29.03.2020,3,Остров фантазий,202463,936,155,1306,6,2.09%,1.71%
26.03 - 29.03.2020,3,Афера в Майами,206537,795,191,1081,4,2.13%,2.10%
19.03 - 22.03.2020,3,Тролли. Мировой тур,95482778,428048,33109,2883,12,39.13%,35.42%
19.03 - 22.03.2020,3,Бладшот,42189760,153689,14379,2934,10,17.29%,15.38%
19.03 - 22.03.2020,3,Джентльмены,20925393,68904,4433,4720,15,8.58%,4.74%
19.03 - 22.03.2020,3,"Отель ""Белград""",18623906,73327,7096,2624,10,7.63%,7.59%
19.03 - 22.03.2020,3,Человек-невидимка,11232100,41445,3227,3480,12,4.60%,3.45%
19.03 - 22.03.2020,3,Вперед,9201545,43394,5562,1654,7,3.77%,5.95%
19.03 - 22.03.2020,3,Афера в Майами,8017217,22529,2497,3210,9,3.29%,2.67%
19.03 - 22.03.2020,3,Верю в любовь,6685883,25394,4098,1631,6,2.74%,4.38%
19.03 - 22.03.2020,3,Кукла 2: Брамс,6288628,25507,2899,2169,8,2.58%,3.10%
19.03 - 22.03.2020,3,Номер 1,5783071,21797,4785,1208,4,2.37%,5.12%
19.03 - 22.03.2020,3,Счастье в конверте,719675,3423,831,866,4,0.29%,0.89%
19.03 - 22.03.2020,3,ОДИН ВДОХ,1018475,4218,828,1230,5,0.42%,0.89%
19.03 - 22.03.2020,3,Мой друг Мистер Персиваль,1086545,4711,933,1164,5,0.45%,1.00%
19.03 - 22.03.2020,3,Пиноккио,1266604,5431,1007,1257,5,0.52%,1.08%
19.03 - 22.03.2020,3,Зов предков,1368387,6180,603,2269,10,0.56%,0.65%
19.03 - 22.03.2020,3,Тайная жизнь,1524494,4906,918,1660,5,0.62%,0.98%
19.03 - 22.03.2020,3,Соник в кино,1693644,8853,1160,1460,7,0.69%,1.24%
19.03 - 22.03.2020,3,Удивительное путешествие Доктора Дулиттла,2052754,9555,1241,1654,7,0.84%,1.33%
19.03 - 22.03.2020,3,Лёд 2,4328435,19021,2235,1936,8,1.77%,2.39%
19.03 - 22.03.2020,3,Остров фантазий,4511370,17786,1645,2742,10,1.85%,1.76%
26.03 - 29.03.2020,3,Тролли. Мировой тур,2673231,13937,2827,945,4,27.61%,31.15%
26.03 - 29.03.2020,3,Бладшот,1434981,6115,1174,1222,5,14.82%,12.94%
26.03 - 29.03.2020,3,Джентльмены,1013955,4100,669,1515,6,10.47%,7.37%
26.03 - 29.03.2020,3,Отдай свою душу,827829,3369,602,1375,5,8.55%,6.63%
26.03 - 29.03.2020,3,"Отель ""Белград""",717472,3340,723,992,4,7.41%,7.97%
26.03 - 29.03.2020,3,Человек-невидимка,547795,2382,397,1379,6,5.66%,4.38%
26.03 - 29.03.2020,3,Туннель: опасно для жизни,458814,1800,310,1480,5,4.74%,3.42%
26.03 - 29.03.2020,3,Вперед,371177,2084,499,743,4,3.83%,5.50%
26.03 - 29.03.2020,3,Кукла 2: Брамс,285238,1357,258,1105,5,2.95%,2.84%
26.03 - 29.03.2020,3,Верю в любовь,227835,1061,294,774,3,2.35%,3.24%
26.03 - 29.03.2020,3,Страшные истории для рассказа у костра,42077,171,56,751,3,0.43%,0.62%
26.03 - 29.03.2020,3,HUMAN LOST: Исповедь неполноценного человека,46864,230,80,585,2,0.48%,0.88%
26.03 - 29.03.2020,3,Холоп,69948,318,83,842,3,0.72%,0.91%
26.03 - 29.03.2020,3,Удивительное путешествие Доктора Дулиттла,80142,432,108,742,4,0.83%,1.19%
26.03 - 29.03.2020,3,Зов предков,80818,442,90,897,4,0.83%,0.99%
26.03 - 29.03.2020,3,Соник в кино,88153,512,119,740,4,0.91%,1.31%
26.03 - 29.03.2020,3,Номер 1,118586,566,208,570,2,1.22%,2.29%
26.03 - 29.03.2020,3,Лёд 2,188394,932,231,815,4,1.95%,2.55%
26.03 - 29.03.2020,3,Остров фантазий,202463,936,155,1306,6,2.09%,1.71%
26.03 - 29.03.2020,3,Афера в Майами,206537,795,191,1081,4,2.13%,2.10%
19.03 - 22.03.2020,3,Тролли. Мировой тур,95482778,428048,33109,2883,12,39.13%,35.42%
19.03 - 22.03.2020,3,Бладшот,42189760,153689,14379,2934,10,17.29%,15.38%
19.03 - 22.03.2020,3,Джентльмены,20925393,68904,4433,4720,15,8.58%,4.74%
19.03 - 22.03.2020,3,"Отель ""Белград""",18623906,73327,7096,2624,10,7.63%,7.59%
19.03 - 22.03.2020,3,Человек-невидимка,11232100,41445,3227,3480,12,4.60%,3.45%
19.03 - 22.03.2020,3,Вперед,9201545,43394,5562,1654,7,3.77%,5.95%
19.03 - 22.03.2020,3,Афера в Майами,8017217,22529,2497,3210,9,3.29%,2.67%
19.03 - 22.03.2020,3,Верю в любовь,6685883,25394,4098,1631,6,2.74%,4.38%
19.03 - 22.03.2020,3,Кукла 2: Брамс,6288628,25507,2899,2169,8,2.58%,3.10%
19.03 - 22.03.2020,3,Номер 1,5783071,21797,4785,1208,4,2.37%,5.12%
19.03 - 22.03.2020,3,Счастье в конверте,719675,3423,831,866,4,0.29%,0.89%
19.03 - 22.03.2020,3,ОДИН ВДОХ,1018475,4218,828,1230,5,0.42%,0.89%
19.03 - 22.03.2020,3,Мой друг Мистер Персиваль,1086545,4711,933,1164,5,0.45%,1.00%
19.03 - 22.03.2020,3,Пиноккио,1266604,5431,1007,1257,5,0.52%,1.08%
19.03 - 22.03.2020,3,Зов предков,1368387,6180,603,2269,10,0.56%,0.65%
19.03 - 22.03.2020,3,Тайная жизнь,1524494,4906,918,1660,5,0.62%,0.98%
19.03 - 22.03.2020,3,Соник в кино,1693644,8853,1160,1460,7,0.69%,1.24%
19.03 - 22.03.2020,3,Удивительное путешествие Доктора Дулиттла,2052754,9555,1241,1654,7,0.84%,1.33%
19.03 - 22.03.2020,3,Лёд 2,4328435,19021,2235,1936,8,1.77%,2.39%
19.03 - 22.03.2020,3,Остров фантазий,4511370,17786,1645,2742,10,1.85%,1.76%
12.03 - 15.03.2020,3,Бладшот,173154259,601005,29921,5787,20,30.92%,24.31%
12.03 - 15.03.2020,3,Вперед,83679955,362228,18508,4521,19,14.94%,15.03%
12.03 - 15.03.2020,3,"Отель ""Белград""",83617037,321891,18844,4437,17,14.93%,15.31%
12.03 - 15.03.2020,3,Джентльмены,57410636,181501,6610,8685,27,10.25%,5.37%
12.03 - 15.03.2020,3,Человек-невидимка,40712758,144338,9142,4453,15,7.27%,7.43%
12.03 - 15.03.2020,3,Лёд 2,21973035,91359,4666,4709,19,3.92%,3.79%
12.03 - 15.03.2020,3,Кукла 2: Брамс,21053703,80211,7263,2898,11,3.76%,5.90%
12.03 - 15.03.2020,3,Остров фантазий,20947799,77275,6395,3275,12,3.74%,5.19%
12.03 - 15.03.2020,3,Пиноккио,10444742,39620,3297,3167,12,1.87%,2.68%
12.03 - 15.03.2020,3,Удивительное путешествие Доктора Дулиттла,10388763,47782,3188,3258,14,1.86%,2.59%
12.03 - 15.03.2020,3,Калашников,603833,3165,259,2331,12,0.11%,0.21%
12.03 - 15.03.2020,3,Паразиты,792122,2939,177,4475,16,0.14%,0.14%
12.03 - 15.03.2020,3,Очень женские истории,868903,2937,493,1762,5,0.16%,0.40%
12.03 - 15.03.2020,3,Яга. Кошмар тёмного леса,1142952,5716,938,1218,6,0.20%,0.76%
12.03 - 15.03.2020,3,Хороший доктор,2085968,5054,488,4274,10,0.37%,0.40%
12.03 - 15.03.2020,3,МУЛЬТ в кино. Выпуск № 115,2660707,21932,1714,1552,12,0.48%,1.39%
12.03 - 15.03.2020,3,Счастье в конверте,4291613,18899,2995,1432,6,0.77%,2.43%
12.03 - 15.03.2020,3,Зов предков,5140842,22843,1206,4262,18,0.92%,0.98%
12.03 - 15.03.2020,3,ОДИН ВДОХ,9484896,35678,4532,2092,7,1.69%,3.68%
12.03 - 15.03.2020,3,Соник в кино,9563960,46641,2466,3878,18,1.71%,2.00%
05.03 - 09.03.2020,4,"Отель ""Белград""",282643344,1041968,31506,8971,33,25.52%,19.65%
05.03 - 09.03.2020,4,Вперед,241909980,952922,35414,6830,26,21.84%,22.08%
05.03 - 09.03.2020,4,Джентльмены,127600352,386192,8586,14861,44,11.52%,5.35%
05.03 - 09.03.2020,4,Человек-невидимка,122400717,412015,19202,6374,21,11.05%,11.97%
05.03 - 09.03.2020,4,Лёд 2,90468411,361841,8673,10431,41,8.17%,5.41%
05.03 - 09.03.2020,4,Остров фантазий,71106057,253514,13075,5438,19,6.42%,8.15%
05.03 - 09.03.2020,4,Удивительное путешествие Доктора Дулиттла,43478449,189655,7712,5637,24,3.93%,4.81%
05.03 - 09.03.2020,4,Соник в кино,35893389,169413,6362,5641,26,3.24%,3.97%
05.03 - 09.03.2020,4,ОДИН ВДОХ,33283594,119944,11406,2918,10,3.00%,7.11%
05.03 - 09.03.2020,4,Зов предков,19224462,86570,2974,6464,29,1.74%,1.85%
05.03 - 09.03.2020,4,Подлинная история банды Келли,1646343,4902,419,3929,11,0.15%,0.26%
05.03 - 09.03.2020,4,Маленькие женщины,1887554,5731,144,13108,39,0.17%,0.09%
05.03 - 09.03.2020,4,Сладкая жизнь,2201238,6870,260,8466,26,0.20%,0.16%
05.03 - 09.03.2020,4,МУЛЬТ в кино. Выпуск № 114,2498379,20758,2508,996,8,0.23%,1.56%
05.03 - 09.03.2020,4,Пушки Акимбо,2684071,9774,918,2923,10,0.24%,0.57%
05.03 - 09.03.2020,4,Переводчики,2738462,7604,783,3497,9,0.25%,0.49%
05.03 - 09.03.2020,4,Просто помиловать,3518291,11290,1154,3048,9,0.32%,0.72%
05.03 - 09.03.2020,4,Калашников,4450045,21423,1490,2986,14,0.40%,0.93%
05.03 - 09.03.2020,4,Очень женские истории,6509662,21108,1643,3962,12,0.59%,1.02%
05.03 - 09.03.2020,4,Яга. Кошмар тёмного леса,11549158,50802,6134,1882,8,1.04%,3.83%
27.02 - 01.03.2020,3,Джентльмены,170707672,535652,14214,12009,37,24.71%,11.37%
27.02 - 01.03.2020,3,Лёд 2,137974494,568324,20058,6878,28,19.97%,16.04%
27.02 - 01.03.2020,3,Удивительное путешествие Доктора Дулиттла,109329200,423764,19819,5516,21,15.83%,15.85%
27.02 - 01.03.2020,3,Соник в кино,91104563,400080,17758,5130,22,13.19%,14.20%
27.02 - 01.03.2020,3,Яга. Кошмар тёмного леса,46424062,186151,15841,2930,11,6.72%,12.67%
27.02 - 01.03.2020,3,Зов предков,42554543,173330,8766,4854,19,6.16%,7.01%
27.02 - 01.03.2020,3,Калашников,22115997,93352,6438,3435,14,3.20%,5.15%
27.02 - 01.03.2020,3,Пушки Акимбо,16240712,57108,4812,3375,11,2.35%,3.85%
27.02 - 01.03.2020,3,Переводчики,11664375,35915,3460,3371,10,1.69%,2.77%
27.02 - 01.03.2020,3,Просто помиловать,9910363,30727,2789,3553,11,1.43%,2.23%
27.02 - 01.03.2020,3,Жадность,1500111,3762,660,2272,5,0.22%,0.53%
27.02 - 01.03.2020,3,Моя собака идиот,2153191,6681,579,3718,11,0.31%,0.46%
27.02 - 01.03.2020,3,МУЛЬТ в кино. Выпуск № 114,2175731,17942,1577,1379,11,0.31%,1.26%
27.02 - 01.03.2020,3,Мегащенки. Электролапы и Шимер и Шайн,2345485,16017,1329,1764,12,0.34%,1.06%
27.02 - 01.03.2020,3,1917,2362179,7349,389,6072,18,0.34%,0.31%
27.02 - 01.03.2020,3,Маленькие женщины,2455047,7907,332,7394,23,0.36%,0.27%
27.02 - 01.03.2020,3,Холоп,2979655,12716,583,5110,21,0.43%,0.47%
27.02 - 01.03.2020,3,Хищные птицы: Потрясающая история Харли Квинн,4112373,16848,1692,2430,9,0.60%,1.35%
27.02 - 01.03.2020,3,Пушистые мошенники,5494768,25779,2026,2712,12,0.80%,1.62%
27.02 - 01.03.2020,3,Подлинная история банды Келли,7168927,22177,1893,3787,11,1.04%,1.51%
20.02 - 24.02.2020,4,Лёд 2,389960420,1566274,34964,11153,44,24.39%,20.48%
20.02 - 24.02.2020,4,Удивительное путешествие Доктора Дулиттла,335326808,1234240,38301,8755,32,20.97%,22.44%
20.02 - 24.02.2020,4,Джентльмены,322493842,976153,18342,17582,53,20.17%,10.74%
20.02 - 24.02.2020,4,Соник в кино,285859548,1232602,32335,8840,38,17.88%,18.94%
20.02 - 24.02.2020,4,Зов предков,114328864,451599,16359,6988,27,7.15%,9.58%
20.02 - 24.02.2020,4,Калашников,76296800,296329,12346,6179,24,4.77%,7.23%
20.02 - 24.02.2020,4,Хищные птицы: Потрясающая история Харли Квинн,18839767,70445,5603,3362,12,1.18%,3.28%
20.02 - 24.02.2020,4,Холоп,12731942,46907,1322,9630,35,0.80%,0.77%
20.02 - 24.02.2020,4,1917,7655253,22634,868,8819,26,0.48%,0.51%
20.02 - 24.02.2020,4,Мегащенки. Электролапы и Шимер и Шайн,7654672,51112,2264,3381,22,0.48%,1.33%
20.02 - 24.02.2020,4,"Эксперимент ""За стеклом""",742038,3258,378,1963,8,0.05%,0.22%
20.02 - 24.02.2020,4,Свистуны,956040,2987,274,3489,10,0.06%,0.16%
20.02 - 24.02.2020,4,Камуфляж и шпионаж,1108305,4737,230,4818,20,0.07%,0.13%
20.02 - 24.02.2020,4,Паразиты,1905549,7297,255,7472,28,0.12%,0.15%
20.02 - 24.02.2020,4,Русские грузины. Фильм первый,2402226,6233,173,13885,36,0.15%,0.10%
20.02 - 24.02.2020,4,Западня для дьявола,2636795,9034,657,4013,13,0.16%,0.38%
20.02 - 24.02.2020,4,Плохие парни навсегда,3028805,10922,506,5985,21,0.19%,0.30%
20.02 - 24.02.2020,4,МУЛЬТ в кино. Выпуск № 113,3439799,28564,2722,1263,10,0.22%,1.59%
20.02 - 24.02.2020,4,Скандал,5599474,17728,2234,2506,7,0.35%,1.31%
20.02 - 24.02.2020,4,Маленькие женщины,6182074,19099,578,10695,33,0.39%,0.34%
13.02 - 16.02.2020,3,Лёд 2,579245072,2188825,34134,16969,64,48.44%,28.70%
13.02 - 16.02.2020,3,Джентльмены,275268990,838222,19411,14181,43,23.02%,16.32%
13.02 - 16.02.2020,3,Соник в кино,130599711,539330,14550,8975,37,10.92%,12.23%
13.02 - 16.02.2020,3,Хищные птицы: Потрясающая история Харли Квинн,83802341,306682,19655,4263,15,7.01%,16.52%
13.02 - 16.02.2020,3,Холоп,22088841,84833,2890,7643,29,1.85%,2.43%
13.02 - 16.02.2020,3,1917,18349730,59831,2762,6643,21,1.53%,2.32%
13.02 - 16.02.2020,3,Скандал,18306275,57343,5989,3056,9,1.53%,5.04%
13.02 - 16.02.2020,3,Маленькие женщины,14560228,52133,2138,6810,24,1.22%,1.80%
13.02 - 16.02.2020,3,Плохие парни навсегда,12880307,46573,2195,5868,21,1.08%,1.85%
13.02 - 16.02.2020,3,Игры с огнём,9103954,40556,3738,2435,10,0.76%,3.14%
13.02 - 16.02.2020,3,Викинг Вик,1754341,9782,1269,1382,7,0.15%,1.07%
13.02 - 16.02.2020,3,Цвет из иных миров,1990042,7362,894,2225,8,0.17%,0.75%
13.02 - 16.02.2020,3,Марафон Желаний,2161599,9224,754,2866,12,0.18%,0.63%
13.02 - 16.02.2020,3,Форрест Гамп,2788309,9842,576,4840,17,0.23%,0.48%
13.02 - 16.02.2020,3,Капитан Саблезуб и Волшебный бриллиант,2858365,14550,1510,1892,9,0.24%,1.27%
13.02 - 16.02.2020,3,МУЛЬТ в кино. Выпуск № 113,3081004,25479,1548,1990,16,0.26%,1.30%
13.02 - 16.02.2020,3,Паразиты,3337127,11977,400,8342,29,0.28%,0.34%
13.02 - 16.02.2020,3,Камуфляж и шпионаж,3531651,15974,823,4291,19,0.30%,0.69%
13.02 - 16.02.2020,3,"Эксперимент ""За стеклом""",4278386,14834,1249,3425,11,0.36%,1.05%
13.02 - 16.02.2020,3,КОМА,5933364,25079,2459,2412,10,0.50%,2.07%
06.02 - 09.02.2020,3,Хищные птицы: Потрясающая история Харли Квинн,232545920,795638,41659,5582,19,38.66%,34.99%
06.02 - 09.02.2020,3,1917,62664088,203689,7490,8366,27,10.42%,6.29%
06.02 - 09.02.2020,3,Плохие парни навсегда,54217457,184960,8921,6077,20,9.01%,7.49%
06.02 - 09.02.2020,3,Холоп,50779832,185983,5707,8897,32,8.44%,4.79%
06.02 - 09.02.2020,3,Маленькие женщины,44452337,155597,6415,6929,24,7.39%,5.39%
06.02 - 09.02.2020,3,Игры с огнём,35233051,141075,8789,4008,16,5.86%,7.38%
06.02 - 09.02.2020,3,КОМА,32888108,127606,10665,3083,11,5.47%,8.96%
06.02 - 09.02.2020,3,Камуфляж и шпионаж,16343048,70686,2715,6019,26,2.72%,2.28%
06.02 - 09.02.2020,3,Марафон Желаний,14678964,57410,3781,3882,15,2.44%,3.18%
06.02 - 09.02.2020,3,(Не)идеальный мужчина,10193498,41027,2191,4652,18,1.69%,1.84%
06.02 - 09.02.2020,3,Под водой,1749205,7305,844,2072,8,0.29%,0.71%
06.02 - 09.02.2020,3,Playmobil фильм: Через вселенные,1940453,10580,1662,1167,6,0.32%,1.40%
06.02 - 09.02.2020,3,МУЛЬТ в кино. Выпуск № 112,2192546,18512,2261,969,8,0.36%,1.90%
06.02 - 09.02.2020,3,Тёмные воды,2511063,7072,847,2964,8,0.42%,0.71%
06.02 - 09.02.2020,3,Мегащенки. Могучие лапы и сказка о двух Неллах,2987476,20242,1425,2096,14,0.50%,1.20%
06.02 - 09.02.2020,3,Тролль: История с хвостом,4933017,25359,2565,1923,9,0.82%,2.15%
06.02 - 09.02.2020,3,Мама: гостья из тьмы,5647129,20543,2027,2785,10,0.94%,1.70%
06.02 - 09.02.2020,3,Офицер и шпион,7122540,18554,1708,4170,10,1.18%,1.43%
06.02 - 09.02.2020,3,Гретель и Гензель,8948334,34616,3330,2687,10,1.49%,2.80%
06.02 - 09.02.2020,3,Викинг Вик,9550272,43917,4048,2359,10,1.59%,3.40%
30.01 - 02.02.2020,3,Плохие парни навсегда,130004073,438216,18422,7057,23,20.65%,15.52%
30.01 - 02.02.2020,3,1917,105191438,317242,12791,8223,24,16.70%,10.78%
30.01 - 02.02.2020,3,КОМА,79538909,299581,21636,3676,13,12.63%,18.23%
30.01 - 02.02.2020,3,Холоп,71179123,262413,7955,8947,32,11.30%,6.70%
30.01 - 02.02.2020,3,Маленькие женщины,63755670,218669,9955,6404,21,10.12%,8.39%
30.01 - 02.02.2020,3,Марафон Желаний,46497312,174291,12767,3641,13,7.38%,10.76%
30.01 - 02.02.2020,3,(Не)идеальный мужчина,31057633,124966,6500,4778,19,4.93%,5.48%
30.01 - 02.02.2020,3,Камуфляж и шпионаж,27725161,120167,4228,6557,28,4.40%,3.56%
30.01 - 02.02.2020,3,Гретель и Гензель,25686162,93327,6014,4271,15,4.08%,5.07%
30.01 - 02.02.2020,3,Под водой,12368028,46147,4157,2975,11,1.96%,3.50%
30.01 - 02.02.2020,3,Ледяная принцесса,2101515,10693,1000,2101,10,0.33%,0.84%
30.01 - 02.02.2020,3,МУЛЬТ в кино. Выпуск № 112,2144019,17955,1601,1339,11,0.34%,1.35%
30.01 - 02.02.2020,3,Достать ножи,2299009,7036,243,9460,28,0.37%,0.20%
30.01 - 02.02.2020,3,Джуманджи: Новый уровень,2685684,10630,366,7337,29,0.43%,0.31%
30.01 - 02.02.2020,3,Вальгалла: Рагнарек,3150921,11090,1066,2955,10,0.50%,0.90%
30.01 - 02.02.2020,3,Шахматист,3175266,12982,1061,2992,12,0.50%,0.89%
30.01 - 02.02.2020,3,Союз спасения,3404219,15115,798,4265,18,0.54%,0.67%
30.01 - 02.02.2020,3,Барашек Шон: Фермагеддон,4785987,23370,2062,2321,11,0.76%,1.74%
30.01 - 02.02.2020,3,Мегащенки. Могучие лапы и сказка о двух Неллах,5516397,35172,1861,2964,18,0.88%,1.57%
30.01 - 02.02.2020,3,Playmobil фильм: Через вселенные,7437110,33969,4201,1770,8,1.18%,3.54%
23.01 - 26.01.2020,3,Плохие парни навсегда,267447143,868538,27551,9707,31,33.93%,22.04%
23.01 - 26.01.2020,3,Холоп,118964545,448215,10586,11237,42,15.09%,8.47%
23.01 - 26.01.2020,3,Марафон Желаний,118073688,427798,26544,4448,16,14.98%,21.23%
23.01 - 26.01.2020,3,(Не)идеальный мужчина,98292842,392636,17468,5627,22,12.47%,13.97%
23.01 - 26.01.2020,3,Камуфляж и шпионаж,48249767,214292,7761,6216,27,6.12%,6.21%
23.01 - 26.01.2020,3,Под водой,41941629,147769,10723,3911,13,5.32%,8.58%
23.01 - 26.01.2020,3,Проклятие,14913088,56816,4543,3282,12,1.89%,3.63%
23.01 - 26.01.2020,3,Барашек Шон: Фермагеддон,13791420,61013,4817,2863,12,1.75%,3.85%
23.01 - 26.01.2020,3,Вторжение,10235921,43753,3214,3184,13,1.30%,2.57%
23.01 - 26.01.2020,3,Союз спасения,10078101,43892,1822,5531,24,1.28%,1.46%
23.01 - 26.01.2020,3,Фиксики против кработов,2475321,12793,508,4872,25,0.31%,0.41%
23.01 - 26.01.2020,3,Так близко к горизонту,2749425,9710,1580,1740,6,0.35%,1.26%
23.01 - 26.01.2020,3,Холодное сердце II,3175274,14193,546,5815,25,0.40%,0.44%
23.01 - 26.01.2020,3,Достать ножи,4167806,12160,354,11773,34,0.53%,0.28%
23.01 - 26.01.2020,3,Дело Ричарда Джуэлла,4249646,11967,674,6305,17,0.54%,0.54%
23.01 - 26.01.2020,3,Ледяная принцесса,4492812,20635,1327,3385,15,0.57%,1.06%
23.01 - 26.01.2020,3,Особенные,5044127,16107,818,6166,19,0.64%,0.65%
23.01 - 26.01.2020,3,Джуманджи: Новый уровень,5617012,22327,869,6463,25,0.71%,0.70%
23.01 - 26.01.2020,3,Маяк,6870192,20983,1024,6709,20,0.87%,0.82%
23.01 - 26.01.2020,3,Шахматист,7465357,26062,2298,3248,11,0.95%,1.84%
16.01 - 19.01.2020,3,(Не)идеальный мужчина,282315011,1103074,32186,8771,34,33.07%,26.09%
16.01 - 19.01.2020,3,Холоп,220974513,837208,21837,10119,38,25.89%,17.70%
16.01 - 19.01.2020,3,Камуфляж и шпионаж,100141638,420409,17267,5799,24,11.73%,14.00%
16.01 - 19.01.2020,3,Проклятие,56030510,202231,12851,4360,15,6.56%,10.42%
16.01 - 19.01.2020,3,Вторжение,42887475,168262,10564,4059,15,5.02%,8.56%
16.01 - 19.01.2020,3,Союз спасения,34204340,135274,5807,5890,23,4.01%,4.71%
16.01 - 19.01.2020,3,Джуманджи: Новый уровень,16295323,57377,2181,7471,26,1.91%,1.77%
16.01 - 19.01.2020,3,Дело Ричарда Джуэлла,16131746,48189,2333,6914,20,1.89%,1.89%
16.01 - 19.01.2020,3,Маяк,15616455,45788,2035,7673,22,1.83%,1.65%
16.01 - 19.01.2020,3,Особенные,10697948,32444,1670,6405,19,1.25%,1.35%
16.01 - 19.01.2020,3,Девушка в лабиринте,2993294,10106,1050,2850,9,0.35%,0.85%
16.01 - 19.01.2020,3,Риф. Новые приключения,3065473,15430,1551,1976,9,0.36%,1.26%
16.01 - 19.01.2020,3,Тиэтэйбит,4252300,15856,255,16675,62,0.50%,0.21%
16.01 - 19.01.2020,3,Полицейский с Рублевки. Новогодний Беспредел 2,5046845,20374,1317,3832,15,0.59%,1.07%
16.01 - 19.01.2020,3,Звёздные Войны: Скайуокер. Восход,5130757,15528,852,6022,18,0.60%,0.69%
16.01 - 19.01.2020,3,Сквозь снег,6133737,18546,1402,4374,13,0.72%,1.14%
16.01 - 19.01.2020,3,Достать ножи,6396126,18343,501,12766,36,0.75%,0.41%
16.01 - 19.01.2020,3,Холодное сердце II,6733315,28768,1131,5953,25,0.79%,0.92%
16.01 - 19.01.2020,3,Иван Царевич и Серый Волк 4,9256316,49604,4160,2225,11,1.08%,3.37%
16.01 - 19.01.2020,3,Фиксики против кработов,9259957,48025,2395,3866,20,1.08%,1.94%
09.01 - 12.01.2020,3,Девушка в лабиринте,2993294,10106,1050,2850,9,0.35%,0.85%
09.01 - 12.01.2020,3,Риф. Новые приключения,3065473,15430,1551,1976,9,0.36%,1.26%
09.01 - 12.01.2020,3,Тиэтэйбит,4252300,15856,255,16675,62,0.50%,0.21%
09.01 - 12.01.2020,3,Полицейский с Рублевки. Новогодний Беспредел 2,5046845,20374,1317,3832,15,0.59%,1.07%
09.01 - 12.01.2020,3,Звёздные Войны: Скайуокер. Восход,5130757,15528,852,6022,18,0.60%,0.69%
09.01 - 12.01.2020,3,Сквозь снег,6133737,18546,1402,4374,13,0.72%,1.14%
09.01 - 12.01.2020,3,Достать ножи,6396126,18343,501,12766,36,0.75%,0.41%
09.01 - 12.01.2020,3,Холодное сердце II,6733315,28768,1131,5953,25,0.79%,0.92%
09.01 - 12.01.2020,3,Иван Царевич и Серый Волк 4,9256316,49604,4160,2225,11,1.08%,3.37%
09.01 - 12.01.2020,3,Фиксики против кработов,9259957,48025,2395,3866,20,1.08%,1.94%
02.01 - 08.01.2020,6,Холоп,395679715,1516782,25158,15727,60,39.23%,18.90%
02.01 - 08.01.2020,6,Камуфляж и шпионаж,194107873,804060,32196,6028,24,19.24%,24.18%
02.01 - 08.01.2020,6,Вторжение,131231103,502369,20769,6318,24,13.01%,15.60%
02.01 - 08.01.2020,6,Союз спасения,68670869,262988,11930,5756,22,6.81%,8.96%
02.01 - 08.01.2020,6,Джуманджи: Новый уровень,30957892,115098,2903,10664,39,3.07%,2.18%
02.01 - 08.01.2020,6,Иван Царевич и Серый Волк 4,29090647,150329,9031,3221,16,2.88%,6.78%
02.01 - 08.01.2020,6,Дело Ричарда Джуэлла,28893241,88705,4133,6990,21,2.86%,3.10%
02.01 - 08.01.2020,6,Фиксики против кработов,23358564,121632,5626,4151,21,2.32%,4.23%
02.01 - 08.01.2020,6,Полицейский с Рублевки. Новогодний Беспредел 2,22641162,83263,3578,6327,23,2.24%,2.69%
02.01 - 08.01.2020,6,Звёздные Войны: Скайуокер. Восход,17327506,50071,2625,6600,19,1.72%,1.97%
