title_uais,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Астрал: Новое измерение,0,0,0,0,0,0,0,0,12831,24232,142515,163090,70859,32730,51437,55091,37548,30290,21292,30882,41083,37347,54606,37011
Холмс и Ватсон,119743,86478,83639,68683,84039,92708,105213,92577,66581,70417,206830,156911,170850,132176,108720,95989,101196,104961,108519,111168,96212,97338,149743,93297
BEEF: РУССКИЙ ХИП-ХОП,0,0,0,0,0,0,0,0,522,1971,104022,81477,41586,21384,20949,12559,7581,6994,8963,8923,6239,5167,7596,6932
Рассвет,1054769,1122364,1035748,1025387,1065727,1276149,1130323,1234289,1326746,1095312,1250048,1429440,1596196,1210218,1183701,1481264,1589633,1242513,1076079,1438628,1248690,1192330,1424044,1434161
Фаворитка,21018,17694,19365,20508,21300,19723,32444,30836,39348,52681,196588,517188,406480,193835,153613,145019,132180,128122,95131,82580,74765,68043,92033,68242
Мирай из будущего,113,338,816,921,2076,2729,2204,2514,3253,8112,39497,81071,29132,16642,14741,13268,11284,12350,12724,11186,11455,8721,13462,9839
Белый парень Рик,108,187,234,4431,3098,3205,6552,7261,5595,14063,24768,50348,52960,58826,36809,30207,20303,17882,14870,11926,11367,7980,9973,9043
Приключения Аладдина,20862,12912,11516,12819,19590,19862,14769,18521,26204,28357,48778,106862,85677,44354,85551,64280,49871,36620,27740,22635,23684,24546,20741,16412
ЛЕГО Фильм-2,3647,2912,3320,16396,13891,13061,9918,11201,15190,21698,66089,541981,305207,158123,150799,125043,114415,115763,86682,89490,91904,72656,77805,69065
Клаустрофобы,152,134,110,92,203,110,71,9123,6166,2922,18291,194410,120847,160737,117343,101461,102745,82802,56444,49360,52625,52826,100603,97019
Как я стал русским,75971,67617,71662,54335,60220,48109,78201,95308,105320,95861,131383,591641,653305,371615,310984,262849,217836,204538,145110,146744,161439,159414,312588,177626
Алита: Боевой ангел,32394,27034,20550,22457,72185,114491,76398,106315,174539,119350,610996,2399404,1839537,1148426,875491,866674,732242,482295,352612,308973,312742,282093,371823,231621
Снегоуборщик,229988,56599,45993,46789,59979,94327,136840,214710,344041,502848,808003,891499,432061,363879,438222,307754,239743,201242,238947,340742,507569,452267,505464,285847
Семья по-быстрому,0,0,0,0,0,0,0,85232,28565,62419,141637,397367,382372,258168,291747,335220,282520,243344,200414,216858,212423,183693,236052,124959
Завод,6214667,5606177,5397916,4862697,5235041,5509046,5763665,6905935,5997663,5421655,5763317,6852675,7355447,6585979,5534777,5450175,5620025,5283595,5330593,6128148,5806724,5723254,6159324,6310435
Ван Гог. На пороге вечности,317,240,250,180,274,264,2544,1407,4301,4461,15838,105568,46379,30888,27552,26704,35960,20324,12264,9812,9439,7950,10328,9285
Громкая связь,36420,31805,30967,31511,35624,35429,36112,52448,70172,56263,121928,905994,1246910,947238,1089693,607250,445410,356972,214997,287307,230837,164009,230887,149703
Семь ужинов,824,1364,1568,1640,1421,1166,1610,2273,7253,7554,30485,300503,385926,216317,219195,195173,184291,162848,121811,80571,85397,55217,74912,46757
Отрыв,98306,96528,132634,109672,111400,114570,134502,197016,143500,125430,166612,364715,404589,325017,238876,215076,142429,146881,127870,176463,173256,204677,226089,150593
Тетрадь дружбы Нацумэ,16349,12622,11917,11721,12768,11690,11780,13369,11701,12553,20231,110630,45161,25587,26569,26672,23355,21943,17423,18170,19663,16173,17337,15527
Капернаум,2489,2253,2853,1821,1770,1590,1733,2454,2155,2581,10880,79411,353404,267022,245585,232631,209819,186674,160136,166921,165464,180964,413668,302874
Пилигрим,137535,124909,166434,141811,145665,133331,130683,153469,134896,140514,152122,349537,224899,179401,189486,210335,173181,155101,134591,322828,160035,155650,193689,160310
Святая Агата,903,750,840,635,793,1225,2910,3333,3153,4537,14877,85477,103533,69272,66859,62778,38008,29396,38971,39262,37794,36896,43800,28603
Как приручить дракона 3,73806,63094,62614,466880,183600,162459,171344,240484,159471,146552,661521,2334198,3003292,1525648,1092633,732807,496052,429837,295068,337225,354796,439006,393970,315308
