Общий викенд,Викенд в месяце,Месяц,Даты,Дней в викенде,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,Январь,с 25 янв. 2018 по 28 янв. 2018,3,Фильм,Бегущий в лабиринте: Лекарство от смерти,Движение вверх,ЗОМБОЯЩИК (ZОМБОЯЩИК),Приключения Паддингтона 2,Астрал 4: Последний ключ,Форма воды,Девушка в тумане,Джуманджи: Зов джунглей,Скиф,Большая игра,Тёмные времена,Величайший шоумен,Фердинанд,Три богатыря и принцесса Египта,Хэппи-энд,МУЛЬТ в кино. Выпуск № 67,Карп отмороженный,"Кто наш папа, чувак?",Побег из Рио,Праздничный переполох,,,,,,,
4,4,Январь,с 25 янв. 2018 по 28 янв. 2018,3,Сборы,"223,948,670","199,620,567","110,947,407","97,792,927","56,262,701","30,717,459","11,187,634","9,240,764","8,616,391","7,954,027","6,298,298","6,068,347","5,750,994","3,259,613","3,014,395","2,519,555","2,066,014","1,152,351","1,013,570","468,376",,,,,,,
4,4,Январь,с 25 янв. 2018 по 28 янв. 2018,3,Зрители,"780,870","790,014","438,184","404,401","218,175","102,219","34,841","40,706","36,599","19,630","19,991","25,650","27,635","17,728","9,194","21,638","9,784","5,745","3,907","1,304",,,,,,,
4,4,Январь,с 25 янв. 2018 по 28 янв. 2018,3,Сеансы,"29,870","15,513","26,253","14,917","9,775","3,731","1,367","1,306","4,412",653,"1,239",914,808,"1,015",609,"1,461",729,560,523,91,,,,,,,
4,4,Январь,с 25 янв. 2018 по 28 янв. 2018,3,Сборы за сеанс,"7,497","12,867","4,226","6,555","5,755","8,233","8,184","7,075","1,952","12,180","5,083","6,639","7,117","3,211","4,949","1,724","2,834","2,057","1,937","5,146",,,,,,,
4,4,Январь,с 25 янв. 2018 по 28 янв. 2018,3,Среднее количество зрителей,26,50,16,27,22,27,25,31,8,30,16,28,34,17,15,14,13,10,7,14,,,,,,,
5,1,Февраль,с 01 фев. 2018 по 04 фев. 2018,3,Фильм,Селфи,Движение вверх,Бегущий в лабиринте: Лекарство от смерти,Короче,Приключения Паддингтона 2,"Три билборда на границе Эббинга, Миссури",Плюшевый монстр,ЗОМБОЯЩИК (ZОМБОЯЩИК),Астрал 4: Последний ключ,Форма воды,Тоня против всех,Девушка в тумане,Джуманджи: Зов джунглей,МУЛЬТ в кино. Выпуск № 68,Фердинанд,Большая игра,Кое-что на день рождения,Эйфория,Величайший шоумен,Тёмные времена,,,,,,,
5,1,Февраль,с 01 фев. 2018 по 04 фев. 2018,3,Сборы,"119,160,602","107,396,504","103,578,888","72,858,010","49,744,324","45,306,534","24,975,843","19,987,628","13,176,157","11,205,745","9,194,346","4,429,300","3,712,073","2,999,731","2,674,753","2,528,687","2,430,704","2,101,027","1,820,580","1,567,799",,,,,,,
5,1,Февраль,с 01 фев. 2018 по 04 фев. 2018,3,Зрители,"421,993","429,983","374,965","258,698","213,461","141,887","118,399","84,452","57,547","38,029","27,452","14,405","15,299","25,059","12,498","5,934","7,662","6,476","8,080","5,430",,,,,,,
5,1,Февраль,с 01 фев. 2018 по 04 фев. 2018,3,Сеансы,"22,050","11,346","17,198","14,105","7,761","4,557","7,734","9,860","2,774","1,517","1,813",698,526,"1,192",406,296,"1,072",912,241,282,,,,,,,
5,1,Февраль,с 01 фев. 2018 по 04 фев. 2018,3,Сборы за сеанс,"5,404","9,465","6,022","5,165","6,409","9,942","3,229","2,027","4,749","7,386","5,071","6,345","7,057","2,516","6,588","8,542","2,267","2,303","7,554","5,559",,,,,,,
5,1,Февраль,с 01 фев. 2018 по 04 фев. 2018,3,Среднее количество зрителей,19,37,21,18,27,31,15,8,20,25,15,20,29,21,30,20,7,7,33,19,,,,,,,
6,2,Февраль,с 08 фев. 2018 по 11 фев. 2018,3,Фильм,Пятьдесят оттенков свободы,Женщины против мужчин: Крымские каникулы,Движение вверх,Селфи,"Три билборда на границе Эббинга, Миссури",Охота на воров,Бегущий в лабиринте: Лекарство от смерти,Приключения Паддингтона 2,Короче,Плюшевый монстр,Колесо чудес,Место встречи,Уиджи: Проклятие Вероники,Тоня против всех,Трон эльфов,Форма воды,МУЛЬТ в кино. Выпуск № 68,Джуманджи: Зов джунглей,Убийство священного оленя,Мои белые ночи,,,,,,,
