Название в ЕАИС,pr_week - 8,pr_week - 7,pr_week - 6,pr_week - 5,pr_week - 4,pr_week - 3,pr_week - 2,pr_week - 1,pr_week
Ford против Ferrari,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Холодное сердце II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Полицейский с Рублевки. Новогодний Беспредел 2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,51.0,69.0
Звёздные Войны: Скайуокер. Восход,5.0,2.0,3.0,6.0,9.0,15.0,19.0,89.0,100.0
Холоп,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0
Джуманджи: Зов джунглей,18.0,10.0,11.0,12.0,12.0,9.0,16.0,12.0,25.0
Астрал 4: Последний ключ,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Женщины против мужчин: Крымские каникулы,2.0,3.0,2.0,1.0,2.0,19.0,27.0,59.0,84.0
О чем говорят мужчины. Продолжение,0.0,0.0,0.0,9.0,0.0,9.0,82.0,100.0,100.0
Излом времени,1.0,1.0,2.0,2.0,2.0,3.0,1.0,10.0,100.0
Кролик Питер,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Тихое место,1.0,1.0,1.0,2.0,9.0,4.0,3.0,3.0,5.0
"Анимационный фильм ""Смешарики. Дежавю""",3.0,2.0,6.0,8.0,6.0,15.0,26.0,70.0,100.0
СОБИБОР (SOBIBOR),0.0,1.0,1.0,1.0,4.0,3.0,31.0,63.0,100.0
Такси 5,7.0,5.0,10.0,9.0,7.0,14.0,15.0,20.0,28.0
Хан Соло: Звёздные войны. Истории,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0
Красный воробей,1.0,4.0,6.0,5.0,3.0,3.0,4.0,8.0,21.0
Красотка на всю голову,15.0,12.0,8.0,7.0,6.0,13.0,9.0,9.0,11.0
8 подруг Оушена,4.0,4.0,3.0,4.0,4.0,6.0,8.0,13.0,40.0
Небоскреб,5.0,8.0,8.0,11.0,13.0,14.0,19.0,65.0,100.0
Кристофер Робин,4.0,4.0,3.0,3.0,4.0,10.0,13.0,68.0,100.0
"Шпион, который меня кинул",6.0,3.0,1.0,1.0,3.0,0.0,0.0,3.0,7.0
MAMMA MIA! 2,0.0,0.0,3.0,9.0,3.0,3.0,13.0,13.0,23.0
Агент Джонни Инглиш 3.0,0.0,1.0,3.0,0.0,4.0,4.0,3.0,5.0,65.0
"Ничего хорошего в отеле ""Эль Рояль""",0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0
Хэллоуин,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Несокрушимый,23.0,22.0,41.0,32.0,40.0,39.0,65.0,30.0,17.0
"Девушка, которая застряла в паутине",1.0,3.0,3.0,10.0,6.0,3.0,0.0,6.0,3.0
Робин Гуд: Начало,8.0,9.0,10.0,10.0,18.0,17.0,14.0,19.0,97.0
Щелкунчик и четыре королевства,2.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,10.0
