Название в ЕАИС,pr_week - 8,pr_week - 7,pr_week - 6,pr_week - 5,pr_week - 4,pr_week - 3,pr_week - 2,pr_week - 1,pr_week
Дылда,1.0,1.0,1.0,3.0,1.0,0.0,2.0,6.0,9.0
Курск,70.0,67.0,65.0,67.0,75.0,70.0,66.0,67.0,64.0
До скорой встречи,12.0,12.0,12.0,11.0,15.0,17.0,15.0,60.0,100.0
Жара,63.0,49.0,45.0,44.0,46.0,49.0,51.0,36.0,26.0
Пункт назначения: Смайл,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ты умеешь хранить секреты?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ОКЕЙ, ЛЕКСИ!",0.0,0.0,0.0,1.0,28.0,14.0,18.0,9.0,49.0
РОБО,6.0,8.0,12.0,9.0,10.0,14.0,22.0,86.0,100.0
Девятая,8.0,8.0,14.0,11.0,8.0,13.0,17.0,84.0,100.0
Мидуэй,4.0,2.0,3.0,1.0,3.0,3.0,4.0,8.0,7.0
Чудо-юдо,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0
Большая игра,1.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0
Все деньги мира,1.0,8.0,2.0,1.0,3.0,2.0,3.0,2.0,8.0
Дыши во мгле,0.0,0.0,0.0,16.0,15.0,13.0,8.0,8.0,12.0
Истерия,7.0,8.0,6.0,8.0,8.0,6.0,13.0,76.0,100.0
Реинкарнация,11.0,7.0,4.0,8.0,7.0,6.0,6.0,8.0,7.0
План побега 2,1.0,1.0,1.0,10.0,4.0,5.0,5.0,30.0,100.0
Невидимка,nan,nan,nan,nan,nan,nan,nan,nan,17.0
"После долгих поисков Кейн находит искомую формулу и успешно возвращает в мир реальных очертаний гориллу. Остается заключительный аккорд — совершить полный цикл на человеке. Как настоящий ученый, Кейн решает проделать это с самим собой…",nan,nan,nan,nan,nan,nan,nan,nan,nan
Зои,34.0,30.0,32.0,31.0,37.0,18.0,25.0,22.0,22.0
Планета зверей,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
В поисках йети,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Выжившие,nan,nan,nan,nan,nan,nan,nan,nan,5.0
Мотылёк,2.0,10.0,7.0,7.0,5.0,5.0,10.0,21.0,14.0
Кислота,88.0,91.0,96.0,77.0,91.0,100.0,81.0,86.0,87.0
Газгольдер. Клубаре,nan,nan,nan,nan,nan,nan,nan,nan,0.0
МУЛЬТ в кино. Выпуск № 85,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Снежная Королева: Зазеркалье,4.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,8.0
Астрал: Новое измерение,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Снегоуборщик,14.0,26.0,15.0,18.0,27.0,27.0,38.0,85.0,100.0
Отрыв,40.0,31.0,69.0,56.0,35.0,31.0,31.0,33.0,37.0
Кадавр,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0
Гости,67.0,50.0,54.0,48.0,57.0,58.0,63.0,60.0,52.0
В объятиях лжи,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Последствия,63.0,75.0,79.0,76.0,71.0,76.0,72.0,72.0,63.0
"Красивый, плохой, злой",0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0
Щенячий патруль и Вспыш и чудо-машинки,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Боль и слава,0.0,5.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0
Шаг вперед 6: Год танцев,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
Смерть и жизнь Джона Ф.Донована,2.0,5.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0
Трудности выживания,18.0,13.0,5.0,5.0,4.0,4.0,6.0,3.0,1.0
Игра Ганнибала,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Побег из джунглей,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Они,42.0,38.0,44.0,39.0,37.0,34.0,38.0,38.0,43.0
Верность,nan,nan,nan,nan,nan,nan,nan,nan,14.0
Хороший лжец,1.0,2.0,4.0,6.0,2.0,0.0,4.0,7.0,71.0
Тварь,17.0,19.0,11.0,17.0,22.0,16.0,14.0,18.0,22.0
Сиротский Бруклин,0.0,0.0,1.0,0.0,0.0,0.0,10.0,14.0,2.0
Черное Рождество,6.0,1.0,1.0,1.0,4.0,3.0,0.0,7.0,67.0
Праздничный переполох,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Секретное досье,0.0,0.0,0.0,1.0,2.0,5.0,1.0,4.0,3.0
Со дна вершины,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Аферисты поневоле,2.0,2.0,2.0,0.0,2.0,23.0,12.0,10.0,12.0
Убийца 2. Против всех,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,82.0
Талли,3.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0
Обитатели,13.0,18.0,17.0,22.0,19.0,15.0,21.0,12.0,19.0
Кодекс Готти,6.0,14.0,12.0,6.0,12.0,10.0,4.0,16.0,17.0
"Отель ""Артемида""",0.0,3.0,0.0,0.0,0.0,3.0,7.0,3.0,2.0
Пришелец,nan,nan,nan,nan,nan,nan,nan,nan,21.0
Соната,62.0,58.0,68.0,72.0,66.0,67.0,82.0,63.0,62.0
Братья Систерс,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Заповедник,nan,nan,nan,nan,nan,nan,nan,nan,49.0
Холмс и Ватсон,18.0,18.0,15.0,22.0,10.0,26.0,25.0,24.0,42.0
Фаворитка,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
Время возмездия,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Пляжный бездельник,0.0,5.0,3.0,1.0,5.0,2.0,3.0,0.0,5.0
Букашки 2,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Война Анны,1.0,0.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0
Ядовитая роза,0.0,0.0,0.0,0.0,4.0,1.0,8.0,78.0,100.0
Обитель страха,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Донбасс. Окраина,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Дитя робота,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
МУЛЬТ в кино. Выпуск № 100,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Голоса с того света,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
UglyDolls. Куклы с характером,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0
Битва,12.0,10.0,12.0,11.0,11.0,11.0,11.0,13.0,15.0
Щенячий патруль: Мегащенки и Шиммер и Шайн,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Матрица,nan,nan,nan,nan,nan,nan,nan,nan,51.0
Сельма в городе призраков,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Стражи Арктики,2.0,0.0,2.0,0.0,2.0,0.0,2.0,9.0,2.0
Обратный отсчет,3.0,2.0,3.0,4.0,27.0,10.0,7.0,10.0,8.0
МУЛЬТ в кино. Выпуск № 66,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Бойся своих желаний,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Недруги,4.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
Купи меня,0.0,0.0,10.0,9.0,8.0,7.0,8.0,95.0,100.0
Ограбление в ураган,0.0,0.0,0.0,3.0,1.0,2.0,3.0,12.0,95.0
Гонка века,6.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,8.0
Я сражаюсь с великанами,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Мария Магдалина,11.0,15.0,7.0,5.0,13.0,16.0,23.0,17.0,28.0
Зачётный препод 3,5.0,0.0,0.0,0.0,0.0,5.0,0.0,21.0,16.0
Логово монстра,0.0,2.0,2.0,1.0,1.0,4.0,7.0,15.0,92.0
Привидение,37.0,36.0,27.0,21.0,27.0,41.0,100.0,67.0,55.0
Истории призраков,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Прощаться не будем,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Инсомния,4.0,3.0,6.0,3.0,4.0,6.0,2.0,5.0,3.0
Попробуй подкати,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Белль и Себастьян: Приключения продолжаются,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Мальчишник в Европе,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Кин,28.0,29.0,26.0,25.0,23.0,27.0,38.0,44.0,79.0
Багровая мята,5.0,5.0,3.0,6.0,3.0,7.0,8.0,5.0,20.0
Профессионал,17.0,17.0,19.0,19.0,18.0,19.0,18.0,18.0,13.0
Хэллфест,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,15.0
Проигранное место,1.0,2.0,1.0,2.0,5.0,7.0,15.0,89.0,100.0
Хантер Киллер,1.0,2.0,6.0,6.0,6.0,3.0,2.0,4.0,9.0
Эллиот,17.0,17.0,8.0,21.0,21.0,17.0,23.0,13.0,27.0
Близнецы,nan,nan,nan,nan,nan,nan,nan,nan,68.0
МУЛЬТ в кино. Выпуск № 87,nan,nan,nan,nan,nan,nan,nan,nan,nan
Завод,78.0,76.0,74.0,68.0,74.0,74.0,72.0,75.0,74.0
Шутки в сторону 2: Миссия в Майами,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0
Родители легкого поведения,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
Нуреев. Белый ворон,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Танцуй сердцем,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
План побега 3,1.0,1.0,1.0,2.0,2.0,11.0,13.0,5.0,8.0
Ангел мой,28.0,27.0,19.0,42.0,35.0,32.0,36.0,66.0,76.0
БЫК,31.0,33.0,43.0,38.0,24.0,55.0,35.0,34.0,38.0
"Куда ты пропала, Бернадетт?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Люби их всех,69.0,67.0,18.0,21.0,65.0,20.0,100.0,39.0,11.0
Сестренка,57.0,68.0,67.0,63.0,100.0,82.0,67.0,69.0,52.0
Арахисовый сокол,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Дитя погоды,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Грех,13.0,11.0,13.0,14.0,12.0,13.0,28.0,24.0,23.0
Прекрасная эпоха,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Война Токов,1.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,8.0
День мертвецов: Злая кровь,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Всё только начинается,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Тёмные времена,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0
Тоня против всех,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Колесо чудес,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0
Убийство священного оленя,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0
Страна призраков,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Леонардо: Миссия Мона Лиза,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Статус: Обновлен,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Невидимый гость,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Сага о чудовище. Сумерки,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Осторожно: Грамп!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Пылающий,14.0,3.0,6.0,4.0,5.0,4.0,8.0,6.0,5.0
Офисный беспредел,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0
Жаркие летние ночи,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
По ту сторону океана,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0
Лондонские поля,0.0,24.0,28.0,10.0,13.0,10.0,7.0,21.0,14.0
Вечная жизнь Александра Христофорова,5.0,9.0,100.0,100.0,40.0,6.0,17.0,17.0,7.0
МУЛЬТ в кино. Выпуск № 84,nan,nan,nan,nan,nan,nan,nan,nan,nan
Жена,62.0,62.0,64.0,69.0,67.0,69.0,76.0,73.0,67.0
Тёмное зеркало,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0
Мирай из будущего,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ван Гог. На пороге вечности,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Затерянные во льдах,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Юморист,100.0,75.0,60.0,83.0,71.0,56.0,49.0,43.0,43.0
Гурвинек. Волшебная игра,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Другой,51.0,42.0,44.0,43.0,37.0,39.0,42.0,44.0,42.0
Высшее общество,15.0,23.0,30.0,21.0,17.0,20.0,20.0,16.0,13.0
На Париж,nan,nan,nan,nan,nan,nan,nan,nan,33.0
Плейбой под прикрытием,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Куриоса,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Домино,56.0,55.0,54.0,46.0,55.0,51.0,40.0,59.0,66.0
Я не такой. Я не такая,0.0,15.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0
Зов волка,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Норм и Несокрушимые: Большое путешествие,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Красавчик со стажем,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
МУЛЬТ в кино. Выпуск № 101,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Команда мечты,nan,nan,nan,nan,nan,nan,nan,nan,2.0
МУЛЬТ в кино. Выпуск № 104,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Три секунды,6.0,1.0,3.0,2.0,0.0,6.0,12.0,4.0,4.0
21 мост,8.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,6.0
Ходячий замок,nan,nan,nan,nan,nan,nan,nan,nan,36.0
Тайна Коко. Олаф и холодное приключение,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Сламбер: Лабиринты сна,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Место встречи,46.0,37.0,41.0,46.0,39.0,39.0,35.0,44.0,36.0
Сердцеед,7.0,14.0,10.0,10.0,13.0,16.0,32.0,100.0,92.0
Леди Бёрд,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Незнакомцы: Жестокие игры,0.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,8.0
Дикие предки,3.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,4.0
Белль и Себастьян,nan,nan,nan,nan,nan,nan,nan,nan,6.0
Укрась прощальное утро цветами обещания,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Красавица для чудовища,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
От семьи не убежишь,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Первые,nan,nan,nan,nan,nan,nan,nan,nan,58.0
Фобия,36.0,27.0,32.0,38.0,39.0,44.0,45.0,48.0,49.0
2001 год: Космическая одиссея,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Тайная жизнь пингвинов,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Игрушки для взрослых,6.0,3.0,9.0,6.0,14.0,14.0,8.0,13.0,20.0
Черный клановец,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
Грецкий орешек,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Холодная война,29.0,27.0,39.0,48.0,39.0,45.0,26.0,31.0,41.0
Колетт,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
МУЛЬТ в кино. Выпуск № 86,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Унесенные призраками,nan,nan,nan,nan,nan,nan,nan,nan,27.0
Жил-был Дэдпул,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,4.0
BEEF: РУССКИЙ ХИП-ХОП,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0
Лабиринты прошлого,2.0,4.0,0.0,4.0,41.0,4.0,0.0,2.0,6.0
Лови момент,9.0,17.0,13.0,22.0,11.0,100.0,60.0,33.0,17.0
Звонок мертвецу,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100 вещей и ничего лишнего,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Код Красный,4.0,2.0,2.0,0.0,4.0,9.0,11.0,4.0,4.0
Спасибо деду за Победу,nan,nan,nan,nan,nan,nan,nan,nan,27.0
Проклятые,20.0,16.0,26.0,28.0,25.0,18.0,25.0,30.0,23.0
МУЛЬТ в кино. Выпуск № 98,nan,nan,nan,nan,nan,nan,nan,nan,nan
Игра,26.0,24.0,24.0,25.0,24.0,24.0,25.0,23.0,23.0
Питомец Юрского периода,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
Битва за Землю,4.0,1.0,5.0,5.0,0.0,2.0,10.0,11.0,21.0
Ибица,7.0,6.0,6.0,7.0,8.0,7.0,8.0,10.0,15.0
Леонардо да Винчи. Неизведанные миры,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Дети моря,3.0,3.0,0.0,3.0,3.0,3.0,0.0,5.0,5.0
Поменяться местами,5.0,5.0,11.0,17.0,10.0,18.0,7.0,11.0,9.0
"Щенячий патруль: Мегащенки и Нелла, отважная принцесса",nan,nan,nan,nan,nan,nan,nan,nan,38.0
Решала. Нулевые,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Щенячий патруль: Мегащенки и Отважные птенцы,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Тайная жизнь насекомых,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Уиджи: Проклятие Вероники,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Призрачная нить,0.0,0.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0
Дикий,51.0,49.0,61.0,55.0,44.0,66.0,66.0,72.0,81.0
"Операция ""Шаровая молния""",5.0,0.0,0.0,0.0,4.0,8.0,4.0,8.0,8.0
Республика Z,0.0,14.0,41.0,13.0,0.0,13.0,13.0,26.0,13.0
Третья волна зомби,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Муза смерти,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Как разговаривать с девушками на вечеринках,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0
Шпионская игра,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Маленький большой герой,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Вилли и крутые тачки,0.0,0.0,4.0,0.0,0.0,0.0,0.0,34.0,100.0
Белль и Себастьян: друзья навек,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Бои без правил,48.0,47.0,38.0,51.0,56.0,32.0,39.0,45.0,36.0
"Человек, который убил Дон Кихота",0.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,8.0
Патрик,22.0,76.0,61.0,59.0,60.0,67.0,55.0,45.0,41.0
Лоро,3.0,4.0,10.0,3.0,10.0,12.0,3.0,10.0,18.0
Идеальная западня,0.0,0.0,0.0,0.0,0.0,20.0,32.0,15.0,15.0
1+1: Голливудская история,89.0,83.0,88.0,81.0,81.0,85.0,87.0,88.0,87.0
Пышка,6.0,15.0,15.0,10.0,20.0,14.0,51.0,38.0,37.0
Закатать в асфальт,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
МУЛЬТ в кино. Выпуск № 94,nan,nan,nan,nan,nan,nan,nan,nan,nan
МУЛЬТ в кино. Выпуск № 97,nan,nan,nan,nan,nan,nan,nan,nan,nan
Золотая перчатка,6.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,27.0
Голем: Начало,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Присягнувшая тьме,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Соблазн,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0
Как отмыть миллион,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ИГЛА,nan,nan,nan,nan,nan,nan,nan,nan,54.0
Щенячий патруль: Суперпатруль 2,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Добыча,48.0,74.0,51.0,55.0,49.0,30.0,46.0,47.0,43.0
Тайна Мосли,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
С широко закрытыми глазами. Не просто сон: Стэнли Кубрик с широко закрытыми глазами,32.0,22.0,30.0,21.0,24.0,22.0,14.0,16.0,14.0
"Убийство в ""Восточном экспрессе""",2.0,5.0,7.0,5.0,5.0,9.0,17.0,27.0,96.0
Карп отмороженный,1.0,4.0,3.0,3.0,5.0,3.0,7.0,1.0,4.0
МУЛЬТ в кино. Выпуск № 68,nan,nan,nan,nan,nan,nan,nan,nan,0.0
МУЛЬТ в кино. Выпуск №73,nan,nan,nan,nan,nan,nan,nan,nan,0.0
МУЛЬТ в кино. Выпуск № 74,nan,nan,nan,nan,nan,nan,nan,nan,0.0
МУЛЬТ в кино. Выпуск № 75,nan,nan,nan,nan,nan,nan,nan,nan,0.0
МУЛЬТ в кино. Выпуск № 76,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Мир будущего,7.0,12.0,14.0,15.0,16.0,17.0,10.0,36.0,57.0
МУЛЬТ в кино. Выпуск № 77,nan,nan,nan,nan,nan,nan,nan,nan,nan
Книжный клуб,44.0,31.0,27.0,34.0,24.0,25.0,29.0,34.0,17.0
МУЛЬТ в кино. Выпуск № 78,nan,nan,nan,nan,nan,nan,nan,nan,nan
Горные огни,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Экстаз,5.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0
Примадонна,22.0,17.0,12.0,15.0,46.0,46.0,26.0,29.0,20.0
Под Сильвер-Лэйк,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Спитак,2.0,3.0,1.0,3.0,4.0,7.0,8.0,9.0,6.0
Хрусталь,35.0,26.0,33.0,38.0,26.0,34.0,28.0,57.0,39.0
Воспитательница,14.0,6.0,5.0,11.0,3.0,9.0,8.0,11.0,8.0
Середина 90-х,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Апокалипсис сегодня. Расширенная версия,nan,nan,nan,nan,nan,nan,nan,nan,14.0
Мин урдубэр кун хаhан да киирбэт (Надо мною солнце не садится),5.0,5.0,11.0,16.0,11.0,5.0,5.0,16.0,5.0
Так сказал Чарли,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Космическое приключение,22.0,4.0,11.0,7.0,0.0,11.0,4.0,3.0,7.0
За мечтой,13.0,15.0,28.0,15.0,11.0,7.0,4.0,17.0,32.0
Клуб анонимных киллеров,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,92.0
Приключения Реми,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Плюс один,42.0,33.0,46.0,36.0,42.0,64.0,33.0,29.0,29.0
7 социопатов,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
МУЛЬТ в кино. Выпуск № 103,nan,nan,nan,nan,nan,nan,nan,nan,nan
Джуди,7.0,8.0,7.0,8.0,4.0,8.0,12.0,11.0,10.0
Сторож,nan,nan,nan,nan,nan,nan,nan,nan,12.0
Француз,nan,nan,nan,nan,nan,nan,nan,nan,12.0
Курьер,55.0,66.0,62.0,65.0,57.0,68.0,72.0,74.0,85.0
Солярис.,nan,nan,nan,nan,nan,nan,nan,nan,0.0
"Ван Гог. С любовью, Винсент",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Бахубали: Рождение легенды,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
МУЛЬТ в кино. Выпуск № 67,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Хэппи-энд,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Трон эльфов,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
МУЛЬТ в кино. Выпуск № 70,nan,nan,nan,nan,nan,nan,nan,nan,0.0
МУЛЬТ в кино. Выпуск № 71,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Полночное солнце,27.0,37.0,29.0,20.0,5.0,15.0,25.0,55.0,65.0
Невероятная история о гигантской груше,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Точка невозврата,13.0,4.0,11.0,14.0,9.0,19.0,12.0,12.0,4.0
Моя бывшая подружка,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
МУЛЬТ в кино. Выпуск № 79,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Не волнуйся, он далеко не уйдет",0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
Мир принадлежит тебе,4.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0
МУЛЬТ в кино. Выпуск № 81,nan,nan,nan,nan,nan,nan,nan,nan,nan
МУЛЬТ в кино. Выпуск № 82,nan,nan,nan,nan,nan,nan,nan,nan,nan
Проза бродячих псов. Фильм,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
На край света: В поисках единорога,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Почему мы креативны?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Петсон и Финдус. Лучшее на свете Рождество,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Белый парень Рик,0.0,2.0,5.0,5.0,2.0,6.0,2.0,0.0,0.0
Тетрадь дружбы Нацумэ,nan,nan,nan,nan,nan,nan,nan,nan,4.0
30 безумных желаний,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ван Гоги,1.0,5.0,2.0,5.0,10.0,5.0,8.0,21.0,89.0
Агент Мамбо,nan,nan,nan,nan,nan,nan,nan,nan,0.0
МУЛЬТ в кино. Выпуск № 95,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Варавва,4.0,2.0,4.0,2.0,6.0,4.0,0.0,0.0,6.0
Игрища престолов,13.0,8.0,10.0,100.0,60.0,25.0,11.0,8.0,15.0
"Берлин, я люблю тебя",0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Вспыш и чудо-машинки и Расти-механик,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Код Гиас: Лелуш Воскресший,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0
Вельзевул,23.0,19.0,13.0,23.0,17.0,19.0,21.0,27.0,33.0
Опасные секреты,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0
