Название в ЕАИС,id,title,title_en,plot,year,countries,tagline,actors,directors,screenwriters,producers,operators,composers,art_direction_by,editing_by,genres,cast,budget,marketing,profit_usa,profit_russia,profit_world,audience,rating,votes,imdb_rating,imdb_votes,runtime,release,posters,trailers,youtube_ids,series,series_years,release_russia,release_world,viewers,budget,age_restr,release_week_rus,release_week_rus_matched_with_google
Чёрная пантера,623250,Чёрная Пантера,Black Panther,"С первого взгляда можно решить, что Ваканда — обычная территория дикой Африки, но это не так. Здесь, в недрах пустынных земель, скрываются залежи уникального металла, способного поглощать вибрацию. Многие пытались добраться до него, разоряя всё на своём пути и принося смерть аборигенам, но каждый раз таинственный дух саванны — Чёрная Пантера — вставал на защиту угнетённых. Спустя много лет беда снова приходит в Ваканду, и в этот раз враг заручился поддержкой современных технологий. Когда шансов почти не остаётся, Т`Чалла, молодой принц Ваканды, узнаёт, что именно ему предстоит возродить легенду и продолжить вечную борьбу, надев маску Чёрной Пантеры.",2018,США,«Да здравствует король»,"Чедвик Боузман, Майкл Б. Джордан, Лупита Нионго, Данай Гурира, Мартин Фриман, Дэниэл Калуя, Летишиа Райт, Уинстон Дьюк, Стерлинг К. Браун, Анджела Бассетт",Райан Куглер,"Райан Куглер, Джо Роберт Коул, Стэн Ли","Виктория Алонсо, Джеффри Чернов, Луис ДЭспозито",Рэйчел Моррисон,Людвиг Йоранссон,"Ханна Бичлер, Джейсон Т. Кларк, Joseph Hiura","Дэбби Берман, Майкл П. Шовер","фантастика, боевик, приключения",{},200000000,None,700059566,18903062,1346913161,,6.454,127803,None,None,134,None,,,,FALSE,(),29.1.2018,26.2.2018,None,$200 000 000,None,5-2018,147
Я худею,842037,Я худею,,"В жизни Ани есть две главные любви — её парень Женя и еда. Из-за еды они и расстаются: Жене совсем не нравится, как Аня стала выглядеть. Аня не готова просто сдаться. При поддержке лучшей подруги и увлечённого здоровым образом жизни добряка Коли она пускается в увлекательное приключение, чтобы похудеть и обрести любовь и счастье.",2018,Россия,«Хорош себя стесняться!»,"Александра Бортич, Ирина Горбачева, Сергей Шнуров, Евгений Кулик, Роман Курцын, Александр Пташенчук, Елена Валюшкина, Валерия Дергилева, Андрей Трушин, Олег Кассин",Алексей Нужный,"Николай Куликов, Алексей Нужный, Константин Майер","Сергей Корнихин, Николай Куликов, Алексей Нужный",Кирилл Клепалов,"Дмитрий Ланской, Дмитрий Емельянов",Маргарита Аблаева,Авет Оганесян,комедия,{},1700000,None,None,11482662,10999346,,6.903,89520,None,None,102,None,,,,FALSE,(),11.3.2018,8.3.2018,2.72 млн,$1 700 000,None,11-2018,153
Tomb Raider: Лара Крофт,446136,Tomb Raider: Лара Крофт,Tomb Raider,"Лара Крофт — весьма самостоятельная дочь эксцентричного искателя приключений, который пропал, едва она стала подростком. Теперь ей двадцать один, она бесцельно проживает свою жизнь, курьером рассекая на байке по забитым улицам восточного Лондона. Решительно настроенная пробиться сама, она отказывается брать на себя руководство глобальной империей отца, столь же категорично отвергая мысль о том, что он действительно пропал. Слыша советы о том, что ей нужно смириться с этим фактом и жить дальше после семи лет бесплодных поисков, Лара уже и сама не понимает, что же заставляет ее распутывать обстоятельства его таинственного исчезновения.",2018,"Великобритания, США",«Her legend begins»,"Алисия Викандер, Доминик Уэст, Уолтон Гоггинс, Дэниэл Ву, Кристин Скотт Томас, Дерек Джекоби, Александр Виллауме, Тамер Барджаг, Эдриан Коллинз, Кинэн Эррисон",Роар Утхауг,"Женева Робертсон-Дуорет, Алистер Сиддонс, Susan OConnor","Грэм Кинг, Женевьева Хофмайер, Ной Хьюз",Джордж Ричмонд,Junkie XL,"Гари Фриман, Том Браун, Клер Флеминг","Стюарт Бейрд, Том Харрисон-Рид, Майкл Троник","фэнтези, боевик, триллер, приключения",{},94000000,None,58250803,None,274650803,,6.104,58543,None,None,118,None,,,,FALSE,(),2.3.2018,15.3.2018,1.59 млн,$94 000 000,None,9-2018,151
Тихоокеанский рубеж 2,721154,Тихоокеанский рубеж 2,Pacific Rim: Uprising,Команда пилотируемых роботов-защитников остановила вторжение гигантских инопланетных монстров. Великая битва за Тихоокеанский рубеж ознаменовала новую главу в истории человечества. Однако война только начинается… Пришло время нового поколения отстаивать своё право на Землю.,2018,"Великобритания, Китай, Япония, США",«Rise up»,"Джон Бойега, Скотт Иствуд, Кэйли Спэни, Берн Горман, Чарли Дэй, Цзин Тянь, Макс Чжан, Адриа Архона, Ринко Кикути, Каран Брэр",Стивен С. ДеНайт,"Стивен С. ДеНайт, Эмили Кармайкл, Кира Снайдер","Джей Эшенфелтер, Джон Бойега, Кейл Бойтер",Дэниэл Миндел,Лорн Бэлф,"Стефан Дешан, Роберт Бэвин, Mitch Cass","Дилан Хигсмит, Джош Шеффер, Зак Стэнберг","фантастика, боевик, приключения",{},150000000,None,59874525,11075577,290930148,,5.736,44910,None,None,110,None,,,,FALSE,(),21.3.2018,22.3.2018,None,$150 000 000,"зрителям, достигшим 12 лет",12-2018,154
Первому игроку приготовиться,538225,Первому игроку приготовиться,Ready Player One,"Действие фильма происходит в 2045 году, мир погружается в хаос и находится на грани коллапса. Люди ищут спасения в игре OASIS — огромной вселенной виртуальной реальности. Ее создатель, гениальный и эксцентричный Джеймс Холлидэй, оставляет уникальное завещание. Все его колоссальное состояние получит игрок, первым обнаруживший цифровое «пасхальное яйцо», которое миллиардер спрятал где-то на просторах OASISа. Запущенный им квест охватывает весь мир. Совершенно негероический парень по имени Уэйд Уоттс решает принять участие в состязании, с головой бросаясь в головокружительную, искажающую реальность погоню за сокровищами по фантастической вселенной, полной загадок, открытий и опасностей.",2018,"США, Индия",«Загрузи новую реальность»,"Тай Шеридан, Оливия Кук, Бен Мендельсон, Лина Уэйте, ТиДжей Миллер, Саймон Пегг, Марк Райлэнс, Филип Чжао, Уин Морисаки, Ханна Джон-Кэймен",Стивен Спилберг,"Эрнест Клайн, Зак Пенн","Брюс Берман, Рик Картер, Эрнест Клайн",Януш Камински,Алан Сильвестри,"Адам Штокхаузен, Гай Брэдли, Гэвин Фитч","Сара Брошар, Майкл Кан","фантастика, боевик, приключения",{},175000000,None,137690172,11837806,582890172,,7.399,153186,None,None,140,None,,,,FALSE,(),11.3.2018,29.3.2018,None,$175 000 000,None,11-2018,153
Гоголь. Вий,1100779,Гоголь. Вий,,"Писарь из Санкт-Петербурга Николай Гоголь бросает вызов загадочному тёмному Всаднику, который жестоко расправляется с девушками в окрестностях села Диканька. Собрав команду из местного полицейского, пьяницы-доктора, суеверного кузнеца и странствующего философа-экзорциста, Гоголь пытается заманить злодея в ловушку, но на его пути встает самое жуткое порождение нечистой силы — Вий, один взгляд которого способен высосать душу смертного. Неожиданно для себя Гоголь выясняет, что с потусторонними силами его связывают не только таинственные видения.",2018,Россия,«Не выходи из круга»,"Александр Петров, Евгений Стычкин, Таисия Вилкова, Артем Ткаченко, Сергей Бадюк, Ян Цапник, Алексей Вертков, Марта Тимофеева, Юлия Франц, Ксения Разина",Егор Баранов,"Алексей Чупов, Наташа Меркулова","Александр Цекало, Артур Джанибекян, Валерий Федорович",Сергей Трофимов,Райан Оттер,"Елена Жукова, Алиса Доник, Виктория Игумнова",Александр Иванов,"детектив, приключения, драма",{},None,None,None,7403878,7471349,,6.291,39524,None,None,99,None,,,,FALSE,(),13.7.2018,5.4.2018,None :,$7 471 349,None,28-2018,170
Рэмпейдж,666865,Рэмпейдж,Rampage,"Приматолог Дэвис Окойи предпочитает держаться подальше от людей и дружит с Джорджем, удивительно умным самцом гориллы, которого он воспитывал с самого рождения. Но вышедший из-под контроля генетический эксперимент превращает послушную обезьяну в яростного монстра. Более того, вскоре обнаруживается, что существуют и другие модифицированные хищники. Пока свежесозданные чудовища превращают в руины Северную Америку, стирая с лица Земли все, что попадается у них на пути, Окойи вместе с опальным генным инженером пытается изобрести антидот, прорываясь по бесконечному полю боя, не только чтобы предотвратить глобальную катастрофу, но и спасти бесстрашное существо, которое когда-то было его другом.",2018,США,"«Больше, чем скала»","Дуэйн Джонсон, Наоми Харрис, Малин Акерман, Джеффри Дин Морган, Джейк Лэси, Джо Манганьелло, Марли Шелтон, П.Дж. Бирн, Деметриус Гросс, Джек Куэйд",Брэд Пейтон,"Райан Ингл, Карлтон Кьюз, Райан Кондал","Ричард Бренер, Майкл Диско, Тоби Эммерих",Джарон Пресан,Эндрю Локингтон,"Бэрри Чусид, Лорел Бергман, Эллиотт Глик","Боб Дюксе, Джим Мэй","фантастика, боевик, приключения",{},120000000,None,101028233,None,428028233,,6.15,42066,None,None,107,None,,,,FALSE,(),11.4.2018,12.4.2018,1.44 млн,$120 000 000,None,15-2018,157
Тренер,981230,Тренер,,"Футболист национальной сборной Юрий Столешников в ответственный момент не забивает пенальти. После досадной ошибки Столешников покидает сборную, завершает карьеру и становится тренером маленькой провинциальной команды. Именно с этим клубом Столешникову предстоит совершить чудо и вновь поверить в себя.",2018,Россия,,"Данила Козловский, Владимир Ильин, Андрей Смоляков, Ольга Зуева, Ирина Горбачева, Виктор Вержбицкий, Мария Лобанова, Павел Ворожцов, Александр Ильин мл., Александр Обласов",Данила Козловский,"Данила Козловский, Андрей Золотарев, Сергей Четверухин","Данила Козловский, Петр Ануров, Леонид Верещагин",Федор Лясс,Олег Карпачев,"Сергей Агин, Варя Авдюшко",Мария Лихачева,"драма, спорт",{},None,None,None,13993287,13821095,,6.771,54791,None,None,138,None,,,,FALSE,(),20.4.2018,19.4.2018,None :,$13 821 095,None,16-2018,158
Мстители: Война бесконечности,843649,Мстители: Война бесконечности,Avengers: Infinity War,"Пока Мстители и их союзники продолжают защищать мир от различных опасностей, с которыми не смог бы справиться один супергерой, новая угроза возникает из космоса: Танос. Межгалактический тиран преследует цель собрать все шесть Камней Бесконечности — артефакты невероятной силы, с помощью которых можно менять реальность по своему желанию. Всё, с чем Мстители сталкивались ранее, вело к этому моменту — судьба Земли никогда ещё не была столь неопределённой.",2018,США,«An entire universe. Once and for all»,"Роберт Дауни мл., Крис Хемсворт, Марк Руффало, Крис Эванс, Скарлетт Йоханссон, Дон Чидл, Бенедикт Камбербэтч, Том Холланд, Чедвик Боузман, Зои Салдана","Энтони Руссо, Джо Руссо","Джим Старлин, Кристофер Маркус, Стивен МакФили","Виктория Алонсо, Митчелл Белл, Эри Коста",Трент Опалок,Алан Сильвестри,"Чарльз Вуд, Джим Барр, Томас Браун","Джеффри Форд, Мэттью Шмидт","фантастика, боевик, приключения",{},321000000,None,678815482,34793936,2048359754,,7.882,222616,None,None,149,None,,,,FALSE,(),23.4.2018,3.5.2018,None,$321 000 000,None,17-2018,159
Дэдпул 2,961715,Дэдпул 2,Deadpool 2,"Единственный и неповторимый болтливый наемник вернулся! Ещё более масштабный, ещё более разрушительный и даже ещё более голозадый чем прежде! Когда в его жизнь врывается суперсолдат с убийственной миссией, Дэдпул вынужден задуматься о дружбе, семье и о том, что на самом деле значит быть героем, попутно надирая 50 оттенков задниц. Потому что иногда, чтобы делать хорошие вещи, нужно использовать грязные приёмчики.",2018,США,«Беда не приходит одна»,"Райан Рейнольдс, Джош Бролин, Морена Баккарин, Джулиан Деннисон, Зази Битц, ТиДжей Миллер, Лесли Аггамс, Каран Сони, Брианна Хилдебранд, Джек Кеси",Дэвид Литч,"Ретт Риз, Пол Верник, Райан Рейнольдс","Саймон Кинберг, Стэн Ли, Джонатан Комак Мартин",Джонатан Села,Тайлер Бейтс,"Давид Шойнеман, Роджер Файрес, Дэн Хермансен","Крэйг Элперт, Майкл МакКаскер, Элизабет Рональдсдоттир","фантастика, боевик, комедия, приключения",{},110000000,None,318491426,21985670,734546611,,7.362,158234,None,None,119,None,,,,FALSE,(),1.5.2018,17.5.2018,None,$110 000 000,"зрителям, достигшим 18 лет",18-2018,160
