Название в ЕАИС,id,title,title_en,plot,year,countries,tagline,actors,directors,screenwriters,producers,operators,composers,art_direction_by,editing_by,genres,cast,budget,marketing,profit_usa,profit_russia,profit_world,audience,rating,votes,imdb_rating,imdb_votes,runtime,release,posters,trailers,youtube_ids,series,series_years,release_russia,release_world,viewers,budget,age_restr,release_week_rus,release_week_rus_matched_with_google
Счастливого нового дня смерти,1121425,Счастливого нового дня смерти,Happy Death Day 2U,"Триш справилась с маньяком, пытавшимся убить её в её же день рождения, и вырвалась из петли времени. Но это не конец, ведь теперь он охотится за её друзьями. А значит, чтобы победить, девушке снова придется встретиться с ним лицом к лицу и не просто в том же самом дне, но ещё и в параллельной реальности — а всё из-за маленького научного проекта её друга Райана! Смертельная тоска? Нет, бесконечное веселье!",2019,"США, Япония",«Отпразднуем ещё разок?»,"Джессика Рот, Израэль Бруссар, Фи Ву, Сурадж Шарма, Сара Яркин, Рэйчел Мэттьюз, Руби Модин, Стив Зиссис, Чарльз Эйткин, Лаура Клифтон",Кристофер Лэндон,"Кристофер Лэндон, Скотт Лобделл","Джон Балдеччи, Джейсон Блум, Анджела Манкусо",Тоби Оливер,Беар Маккрири,"Билл Боэ, Джейсон Болдуин Стюарт, Уитни Энн Адамс",Бен Баудуин,"ужасы, фантастика, детектив, комедия",{},9000000,None,28148130,2174609,64600152,,6.176,28149,None,None,100,None,,,,FALSE,(),13.2.2019,28.2.2019,None,$9 000 000,None,7-2019,201
Пиковая дама. Зазеркалье,1140394,Пиковая дама: Зазеркалье,,"Зловещий призрак Пиковой Дамы снова жаждет крови, и на этот раз его жертвами становятся воспитанники школы-интерната, расположенного в старинном особняке, окутанном мрачными слухами. Развлекая друг друга страшилками об убийствах детей, которые совершались в этом доме в позапрошлом столетии, подростки находят в заброшенном крыле здания таинственное зеркало, покрытое загадочными рисунками. Ради шутки, ученики проводят перед этим зеркалом мистический обряд вызова духа Пиковой Дамы и загадывают самые сокровенные желания, надеясь, что призрак их исполнит. Шутники не подозревают о том, что платой за выполнение каждой прихоти станут их собственные души — и что Пиковая Дама не успокоится, пока не получит их все.",2018,Россия,,"Ангелина Стречина, Даниил Муравьев-Изотов, Владислав Коноплёв, Клаудиа Бочар, Игорь Яшанин, Валерий Панков, Владимир Канухин, Алена Швиденкова, Ян Алабушев, Анастасия Талызина",Александр Домогаров мл.,"Мария Огнева, Николай Митропольский, Анна Наседкина","Константин Буслов, Владислав Северцев, Дмитрий Литвинов",Алексей Стрелов,Сергей Штерн,"Никита Хорьков, Оксана Шевченко",Владимир Марков,ужасы,{},None,None,None,1449296,1897783,,5.129,3892,None,None,83,None,,,,FALSE,(),12.7.2019,14.3.2019,None :,$1 897 783,None,28-2019,222
Волшебный парк Джун,1041723,Волшебный парк Джун,Wonder Park,"Однажды фантазерка Джун обнаруживает, что придуманный ею чудесный Парк развлечений реален! Но его существование под угрозой, и Джун нужен план спасения ее Мечты. Помогут девочке ее новые друзья — волшебные звери Парка.",2019,"Испания, США",«Мечты ждут»,"София Мали, Дженнифер Гарнер, Кен Хадсон Кэмпбелл, Кенан Томпсон, Мила Кунис, Джон Оливер, Кен Жонг, Норберт Лео Батц, Мэттью Бродерик, Брианна Денски",Dylan Brown,"Джош Аппелбаум, Андре Немец, Роберт Гордон","Джош Аппелбаум, Аарон Дем, Элис Дьюи",Хуан Гарсиа Гонсалес,Стивен Прайс,"Фред Вартер, Helen Mingjue Chen, Лу Романо",Эди Итиока,"мультфильм, фэнтези, комедия, приключения, семейный",{},100000000,None,45216793,3984041,119559110,,6.406,4185,None,None,85,None,,,,FALSE,(),13.3.2019,21.3.2019,None,$100 000 000,None,11-2019,205
Проклятие плачущей,1084329,Проклятие плачущей,The Curse of la Llorona,"Ла Йорона. Плачущая женщина. Вселяющий ужас призрак, затерянный между Раем и Адом и загнанный в ужасную ловушку судьбы, запечатанную его собственной рукой. Простое упоминание ее имени сеет страх по всему миру уже многие поколения. Еще при жизни женщина утопила своих детей в порыве яростной ревности, бросившись в бушующую реку вслед за ними, рыдая от боли и отчаяния. Теперь ее слезы вечны и несут смерть. Тот, кто слышит ее предсмертный крик в ночи, обречен. Ла Йорона крадется в тени и охотится на детей, отчаянно пытаясь восполнить утрату собственных. Проходят столетия, она становится все более ненасытной… а её методы все более ужасными.",2018,США,«Ей нужны ваши дети»,"Линда Карделлини, Роман Кристу, Джейни-Линн Кинчен, Рэймонд Крус, Марисоль Рамирез, Патрисия Веласкес, Шон Патрик Томас, Тони Амендола, Ирен Кэн, Оливер Александр",Майкл Чавес,"Микки Доутри, Тобиас Иаконис","Ричард Бренер, Майкл Клиар, Гари Доберман",Майкл Бёрджесс,Джозеф Бишара,"Мелани Джонс, Алисса Хилл, Меган Спац",Питер Гвоздас,"ужасы, триллер, детектив",{},9000000,None,54733739,2249873,123133739,,5.362,9238,None,None,93,None,,,,FALSE,(),15.3.2019,18.4.2019,None,$9 000 000,None,11-2019,205
Большое путешествие,1114973,Большое путешествие,,"Однажды, Бестолковый Аист из центра доставки детей перепутал адреса и вместо Семьи Панд принес Малыша Панду медведю по имени Мик-Мик. Мик-Мик во всем любит порядок и решает доставить Малыша Панду его родителям в Южный Китай. В путешествие с ним увязывается непутевый сосед Заяц Оскар. По дороге они встречают хвастливого Пеликана Дюка, трусливого Волка Януса и романтичного Тигра Амура.",2019,"Россия, США",,"Дмитрий Назаров, Максим Галкин, Филипп Киркоров, Диомид Виноградов, Алексей Воробьев, Татьяна Навка, Ирина Киреева, Сергей Смирнов, Василий Ровенский, Анастасия Решетникова","Василий Ровенский, Наталья Нилова","Василий Ровенский, Билли Фролик, Павел Виноградов","Роман Борисевич, Василий Ровенский, Максим Рогальский",Федор Мезенцев,"Иван Урюпин, Игорь Бабаев",Светлана Толстошеина,Эдуард Нуритдинов,"мультфильм, комедия, приключения, семейный",{},None,None,None,2257761,5225974,,5.309,2868,5.4,634,80,None,,,,FALSE,(),12.4.2019,27.4.2019,None :,$5 225 974,None,15-2019,209
Годзилла 2: Король монстров,840045,Годзилла 2: Король монстров,Godzilla: King of the Monsters,"История рассказывает о героических усилиях криптозоологического агентства «Монарх» по сдерживанию гигантских монстров. В этот раз против могучего Годзиллы выступают Родан и ультимативный кайдзю — трёхголовый монстр Кинг Гидора. Когда эти древние суперхищники, со временем превратившиеся в полузабытые мифы, восстают снова, чтобы сойтись в схватке, человечеству остаётся отойти в сторонку и постараться не погибнуть.",2019,"США, Япония, Канада, Мексика",«Let them fight!»,"Кайл Чандлер, Вера Фармига, Милли Бобби Браун, Кэн Ватанабэ, Чжан Цзыи, Брэдли Уитфорд, Салли Хокинс, Чарльз Дэнс, Томас Миддлдитч, Аиша Хайндс",Майкл Догерти,"Майкл Догерти, Зак Шилдс, Макс Боренштейн","Matt Allsopp, Джей Эшенфелтер, Ёсимицу Банно",Лоуренс Шер,Беар Маккрири,"Скотт Чамблисс, Рави Бансал, Джон Декстер","Роджер Бартон, Боб Дюксе, Ричард Пирсон","фантастика, фэнтези, боевик, приключения",{},170000000,None,110500138,4622024,386600138,,5.812,26435,None,None,132,None,,,,FALSE,(),29.5.2019,30.5.2019,None,$170 000 000,None,22-2019,216
Собачья жизнь 2,1122114,Собачья жизнь 2,A Dogs Journey,"Главного героя зовут Бэйли, он любит бекон и своего человека Итана. Они прожили вместе много счастливых лет, и вот настала пора прощаться. Но разве он может уйти, когда другу так нужна помощь? Ради Итана он готов на все… даже если в одной из жизней ему придётся стать девчонкой.",2019,"США, Китай, Гонконг, Индия",«Настоящей дружбе одной жизни мало»,"Джош Гад, Деннис Куэйд, Кэтрин Прескотт, Марг Хельгенбергер, Бетти Гилпин, Генри Лау, Эбби Райдер Фортсон, Йен Чен, Эмма Фольк, Джонни Галэки",Гейл Манкусо,"Брюс Кэмерон, Катрин Мишон, Майя Форбс","Холли Барио, Йен Димерман, Фань Луюань",Рогир Стофферс,Марк Айшем,"Эрик Фрайзер, Ларри Спиттл, Патриция Дж. Хендерсон",Роберт Комацу,"фэнтези, драма, комедия, семейный",{},None,None,22782371,3141454,75602573,,7.955,19794,None,None,109,None,,,,FALSE,(),3.5.2019,27.6.2019,934.7 тыс.,$22 782 371,None,18-2019,212
"Али, рули!",1143927,"Али, рули!",Stuber,"Скромный водитель Uber по имени Стю подбирает пассажира, который оказывается полицейским, идущим по следу жестокого убийцы. Таксист даже представить не мог, что теперь его ждет мучительное испытание, в ходе которого он будет отчаянно пытаться сохранить здравомыслие, жизнь и пятизвездочный рейтинг в приложении.",2019,США,«Поездка на пять звёзд»,"Кумэйл Нанджиани, Дэйв Батиста, Мира Сорвино, Натали Моралес, Ико Уайс, Бетти Гилпин, Карен Гиллан, Джимми Татро, Стив Хоуи, Рене Моран",Майкл Даус,Триппер Клэнси,"Джон Фрэнсис Дейли, Джонатан М. Голдштейн, Джереми Сэмюэлс",Бобби Шор,Джозеф Трапанезе,"Наман Маршалл, Andi Crumbley, Ли Леверетт",Джонатан Шварц,"боевик, триллер, комедия, криминал",{},None,None,22370452,998592,32390945,,6.098,11266,None,None,93,None,,,,FALSE,(),13.3.2019,11.7.2019,249.7 тыс.,$22 370 452,None,11-2019,205
Видок: Охотник на призраков,1063019,Видок: Охотник на призраков,LEmpereur de Paris,"Реальная история легендарного французского сыщика XIX века Эжена Франсуа Видока. Ловкий преступник и мастер по части побегов из тюрем Видок менял города и профессии, пока не был нанят наполеоновским правительством очистить улицы Парижа от криминала. Зная преступный мир изнутри, Видок стал самым успешным детективом своей эпохи и настоящим Императором Парижа.",2018,Франция,«Легендарный сыщик или гениальный преступник?»,"Венсан Кассель, Патрик Шене, Аугуст Диль, Ольга Куриленко, Дени Лаван, Фрейя Мавор, Дени Меноше, Жером Пули, Джеймс Тьерре, Фабрис Лукини",Жан-Франсуа Рише,"Эрик Беснард, Жан-Франсуа Рише","Эрик Альтмайер, Николас Альтмайер",Мануэль Дакоссе,"Марко Белтрами, Маркус Трумп","Эмиль Гиго, Пьер-Ив Геро, Деви Тируванзям",Эрве Шнайд,"триллер, криминал, приключения, история",{},None,None,None,684696,7611035,,6.141,8612,None,None,120,None,,,,FALSE,(),3.11.2018,25.7.2019,None :,$7 611 035,None,44-2018,186
Руслан и Людмила: Перезагрузка,1012427,Руслан и Людмила: Перезагрузка,,"Бродячий артист Руслан влюбляется в прекрасную Милу, даже не подозревая, что она принцесса. Когда злой волшебник Черномор похищает его возлюбленную, рассчитывая превратить силу её любви в собственное колдовское могущество, Руслан отправляется в погоню за украденной принцессой. Ему придётся преодолеть все преграды и опасности на своём пути, чтобы доказать, что настоящая любовь сильнее магии.",2018,Украина,«Любовь сильнее магии»,"Надежда Дорофеева, Алексей Завгородний, Евгений Малуха, Сергей Притула, Юрий Горбунов, Олег Михайлюта, Николай Боклан, Маша Ефросинина, Егор Крутоголов, Евгений Гашенко",Олег Маламуж,Ярослав Войцешек,Егор Олесов,,Дарио Веро,Кристиан Коскинен,Геннадий Вишневский,"мультфильм, фэнтези, комедия",{},None,None,None,507974,6530901,,6.195,2710,6.1,1799,85,None,,,,FALSE,(),7.3.2018,1.8.2019,None :,$507 974,None,10-2018,152
Капкан,1150048,Капкан,Crawl,"У пловчихи Хэйли день не задался: сначала она проиграла заплыв, уступив доли секунды, а затем на Флориду обрушивается ураган 5-й категории. Но что ещё хуже, отец не выходит на связь, поэтому Хэйли отправляется в уже эвакуированную зону и находит его тяжелораненым и без сознания в подвале их старого дома. Пытаясь вытащить отца из сырого подвального помещения, девушка обнаруживает, что тут засел огромный агрессивный аллигатор. Неудачный день продолжается — вода прибывает, помощи ждать неоткуда, а зубастая рептилия готова напасть при любой возможности.",2019,"США, Сербия, Канада",«Если тебя не убьёт ураган... это сделают они»,"Кая Скоделарио, Барри Пеппер, Морфидд Кларк, Росс Андерсон, Хосе Пальма, Джордж Сомнер, Энсон Бун, Эми Меткалф, Тина Прибичевич, Срна Васильевич",Александр Ажа,"Майкл Расмуссен, Шон Расмуссен","Александр Ажа, Джастин Бёрш, Крэйг Дж. Флорес",Максим Александр,"Макс Арудж, Стеффен Тум","Алан Гилмор, Драган Капларевич, Кетан Вайкар",Эллиот Гринберг,"ужасы, триллер, драма",{},None,None,39014193,2501132,91542097,,5.99,14819,None,None,87,None,,,,FALSE,(),10.7.2019,22.8.2019,666 тыс.,$39 014 193,None,28-2019,222
Королевские каникулы,1081020,Королевские каникулы,Trouble,"Наследник миллионного состояния и кучки неблагодарных родственников, его псиятельство Принц вышел из зоны комфорта и оказался на улице. Теперь он мечтает вернуться домой. Для этого ему нужно найти новых друзей, избавиться от назойливых белок и сбросить с хвоста матерого охотника. Королевские каникулы начинаются.",2019,"Канада, США, Каймановы острова","«Пропал Принц. Мог бы позвонить, но у него лапки»","Биг Шон, Памела Адлон, Люси Хейл, Марисса Джэрет Винокур, Джоэл МакХэйл, Уилмер Вальдеррама, Ди Брэдли Бейкер, Кевин Чэмберлин, Лудо Лефевр, Колби Лопес",Кевин Джонсон,"Джуда Миллер, Роб Мьюир, Джон Мерфи","Даниэль Стерлинг, Джон Х. Уильямс, Имонн Батлер",,Джессика Уайсс,Джил Риммер,"Роб Нил, Кевин Павлович","мультфильм, комедия, семейный",{},None,None,None,1294940,11534978,,6.044,1967,6.4,593,87,None,,,,FALSE,(),8.8.2019,5.9.2019,None :,$1 294 940,None,32-2019,226
Щегол,922029,Щегол,The Goldfinch,"История юного Теодора Деккера, потерявшего мать во время теракта в Метрополитен-музее. Чудом оставшись в живых после взрыва, Тео получает от умирающего старика редкую картину кисти Карела Фабрициуса и кольцо. С этого момента начинается его погружение в подпольный мир искусства.",2019,США,«История украденной жизни»,"Энсел Элгорт, Оакс Фигли, Анайрин Барнард, Финн Вулфард, Сара Полсон, Люк Уилсон, Джеффри Райт, Николь Кидман, Уилла Фицджералд, Эшли Каммингс",Джон Краули,"Питер Строхан, Донна Тартт","Маргарет Чернин, Эрвин Годшалк, Нина Джейкобсон",Роджер Дикинс,Тревор Гурекис,"К.К. Баррет, Дебора Дженсен, Альфред Шааф",Келли Диксон,драма,{},45000000,None,5332621,1201200,10536602,,6.511,13675,None,None,149,None,,,,FALSE,(),8.9.2019,12.9.2019,None,$45 000 000,None,37-2019,231
Гемини,462851,Гемини,Gemini Man,"Первоклассный киллер Генри Броган становится мишенью таинственного оперативника, который, кажется, знает наперёд каждый его шаг.",2019,"США, Китай",«Кто тебя спасёт от самого себя?»,"Уилл Смит, Мэри Элизабет Уинстэд, Клайв Оуэн, Бенедикт Вонг, Дуглас Ходж, Ральф Браун, Линда Эмонд, Илья Волох, Э.Дж. Бонилья, Виктор Хьюго",Энг Ли,"Дэвид Бениофф, Даррен Лемке, Билли Рэй","Джерри Брукхаймер, Дэвид Эллисон, Дэна Голдберг",Дион Биби,Лорн Бэлф,"Гай Диас, Джон Коллинз, Роберт Каупер",Тим Скуайрес,"боевик, фантастика",{},138000000,None,48546770,4897681,173469516,,5.78,21194,None,None,117,None,,,,FALSE,(),25.9.2019,10.10.2019,None,$138 000 000,None,39-2019,233
Ангелы Чарли,934282,Ангелы Чарли,Charlies Angels,"Частное детективное агентство Таунсенд, возглавляемое таинственным Чарли, открывает свои офисы по всему миру, и теперь в разных уголках земного шара команды суперпрофессиональных Ангелов под началом Босли обеспечивают покой и безопасность своим клиентам.",2019,США,«Миру нужны новые ангелы»,"Кристен Стюарт, Наоми Скотт, Элла Балинска, Сэм Клафлин, Ной Сентинео, Элизабет Бэнкс, Джимон Хонсу, Патрик Стюарт, Луис Херардо Мендес, Джонатан Такер",Элизабет Бэнкс,"Элизабет Бэнкс, Эван Спилиотопулос, Дэвид Обёрн","Элизабет Бэнкс, Даг Белград, Элизабет Кантильон",Билл Поуп,Брайан Тайлер,"Аарон Хэй, Андреас Ольсхаусен, Корнелия Отт","Алан Баумгартен, Мэри Джо Марки","боевик, комедия, приключения",{},50000000,None,17803077,2204139,73279888,,5.301,10706,None,None,118,None,,,,FALSE,(),11.11.2019,14.11.2019,None,$50 000 000,None,46-2019,240
Давай разведемся!,1192366,Давай разведемся!,,"Успешный врач Маша поглощена работой и не сразу замечает, что от нее уходит муж. Жизнь переворачивается вверх дном: на работе аврал, дети требуют постоянного внимания, а привыкшая побеждать Маша не готова уступить любимого мужа красотке фитнес-тренеру. Маша призывает на помощь полный боевой арсенал, включая потусторонние силы. Но новая жизнь открывает новые возможности…",2019,Россия,«Перезагрузка личной жизни»,"Анна Михалкова, Антон Филипенко, Светлана Камынина, Максим Лагашкин, Федор Лавров, Анна Рыцарева, Надежда Маркина, Сергей Рост, Дарья Румянцева, Майя Скородумова",Анна Пармас,"Анна Пармас, Мария Шульгина, Елизавета Тихонова","Сергей Сельянов, Наталья Дрозд-Макан, Константин Эрнст",Леван Капанадзе,Игорь Вдовин,"Анна Козлова, Валерия Дергачева",Юлия Баталова,комедия,{},None,None,None,1740315,1712086,,5.771,16611,None,None,92,None,,,,FALSE,(),23.11.2019,21.11.2019,None :,$1 712 086,None,47-2019,241
Рождество на двоих,1170018,Рождество на двоих,Last Christmas,"Кейт работает в магазине рождественских товаров, злоупотребляет выпивкой и давно бросила переживать из-за собственной жизни. Но всё меняется после знакомства с милым и очаровательным Томом.",2019,"Великобритания, США",«Иногда любовь творит чудеса»,"Эмилия Кларк, Генри Голдинг, Мишель Йео, Эмма Томпсон, Ребекка Рут, Лидия Леонард, Пэтти ЛюПон, Мэдисон Инголдсби, Борис Исакович, Люси Миллер",Пол Фиг,"Эмма Томпсон, Джордж Майкл, Bryony Kimmings","Erik Baiers, Джесси Хендерсон, Дэвид Ливингстоун",Джон Шварцман,Теодор Шапиро,"Гари Фриман, Richard Hardy, Исона Ригау",Брент Уайт,"драма, мелодрама, комедия",{},None,None,35150750,3916796,121550750,,6.7,18033,None,None,103,None,,,,FALSE,(),7.11.2019,5.12.2019,952.8 тыс.,$35 150 750,None,45-2019,239
Форма воды,977743,Форма воды,The Shape of Water,"1960-е годы. Немая девушка Элайза работает уборщицей в научной лаборатории. В стенах секретного учреждения идёт работа по изучению отловленного человека-амфибии, и методы у сотрудников самые жестокие. Элайза влюбляется в пленённое существо и помогает ему сбежать.",2017,"США, Канада",«A Fairy Tale for Troubled Times»,"Салли Хокинс, Майкл Шеннон, Ричард Дженкинс, Октавия Спенсер, Майкл Стулбарг, Даг Джонс, Дэвид Хьюлетт, Ник Сирси, Стюарт Арнотт, Найджел Беннетт",Гильермо дель Торо,"Гильермо дель Торо, Ванесса Тейлор","Дж. Майлз Дэйл, Гильермо дель Торо, Т.К. Ноулз",Дан Лаустсен,Александр Деспла,"Пол Д. Остерберри, Найджел Чёрчер, Луис Секейра",Сидни Волински,"фантастика, драма",{},19400000,None,63859435,2475273,195333312,,6.883,97291,None,None,123,None,,,,FALSE,(),31.8.2017,18.1.2018,None,$19 400 000,"зрителям, достигшим 18 лет",35-2017,125
Короче,462200,Короче,Downsizing,"Фантастическая история о неожиданном решении проблемы перенаселения планеты: норвежские ученые придумывают технологию по уменьшению людей, благодаря которой через 200 лет весь мир можно сделать миниатюрным. К тому же мини-жизнь предлагает массу финансовых выгод, так что простой парень Пол и его жена Одри, недолго думая, решают оставить свое унылое существование в Омахе и пройти процедуру уменьшения. Это их решение повлечет за собой самые удивительные последствия…",2017,"США, Норвегия",«Мы созданы для большего»,"Мэтт Дэймон, Кристоф Вальц, Хонг Чау, Кристен Уиг, Рольф Лассгорд, Ингьерд Эгеберг, Удо Кир, Сёрен Пильмарк, Джейсон Судейкис, Мэрибет Монро",Александр Пэйн,"Александр Пэйн, Джим Тейлор","Марк Джонсон, Александр Пэйн, Джим Тейлор",Фидон Папамайкл,Рольф Кент,"Стефания Челла, Ёрген Стангебай Ларсен, Карл Дж. Мартин",Кевин Тент,"фантастика, драма",{},68000000,None,24449754,2320014,55003890,,5.578,28027,None,None,135,None,,,,FALSE,(),30.8.2017,1.2.2018,None,$68 000 000,None,35-2017,125
"Три билборда на границе Эббинга, Миссури",944098,"Три билборда на границе Эббинга, Миссури","Three Billboards Outside Ebbing, Missouri","Спустя несколько месяцев после убийства дочери Милдред Хейс преступники так и не найдены. Отчаявшаяся женщина решается на смелый шаг, арендуя на въезде в город три билборда с посланием к авторитетному главе полиции Уильяму Уиллоуби. Когда в ситуацию оказывается втянут ещё и заместитель шерифа, инфантильный маменькин сынок со склонностью к насилию, офицер Диксон, борьба между Милдред и властями города только усугубляется.",2017,"Великобритания, США",,"Фрэнсис МакДорманд, Сэм Рокуэлл, Вуди Харрельсон, Лукас Хеджес, Калеб Лэндри Джонс, Эбби Корниш, Питер Динклэйдж, Джон Хоукс, Керри Кондон, Кларк Питерс",Мартин МакДона,Мартин МакДона,"Мартин МакДона, Дэниэл Баттсек, Грэм Бродбент",Бен Дэвис,Картер Бёруэлл,"Инбал Вейнберг, Джесси Розенталь, Мелисса Тот",Джон Грегори,"драма, криминал",{},15000000,None,54513740,3389115,160192031,,8.17,193051,None,None,115,None,,,,FALSE,(),4.9.2017,1.2.2018,None,$15 000 000,"зрителям, достигшим 18 лет",36-2017,126
Ночные игры,737859,Ночные игры,Game Night,"История Макса и Энни, которые вместе с другими парами каждую неделю устраивают так называемые «ночные игры». И вот однажды харизматичный брат Макса Брукс организовывает вечер по разгадыванию «убийственного» квеста с «ряжеными» головорезами и агентами ФБР. Получается, похищение Брукса в тот вечер — это розыгрыш… или нет? В итоге, по мере того, как шестеро мега-азартных игроков пытаются решить заготовленные головоломки и выиграть, они начинают осознавать, что и «квест», и Брукс — совсем не такие, как кажутся. В течение всей этой суматошной ночи друзья не раз прыгают выше головы, пытаясь выпутаться из очередной передряги. В игре нет правил, за нее не начисляются очки, а игроки понятия не имеют, кому противостоят. Эта ночь может стать самой зажигательной в их жизни… или последней.",2018,США,«This is not a game»,"Джейсон Бейтман, Рэйчел МакАдамс, Кайл Чандлер, Шэрон Хорган, Билли Магнуссен, Ламорн Моррис, Кайли Банбери, Джесси Племонс, Майкл С. Холл, Дэнни Хьюстон","Джон Фрэнсис Дейли, Джонатан М. Голдштейн",Марк Перез,"Джейсон Бейтман, Ричард Бренер, Джон Дэвис",Бэрри Петерсон,Клифф Мартинес,"Майкл Коренблит, Хью Д.Г. Муди, Дебра МакГуайр","Дэвид Иган, Джэми Гросс, Грегори Плоткин","боевик, комедия, криминал, детектив",{},37000000,None,69179066,2473667,117679066,,7.006,64372,None,None,100,None,,,,FALSE,(),15.2.2018,22.2.2018,None,$37 000 000,None,7-2018,149
Каникулы Президента,1047726,Каникулы президента,,"Устав от рутины, Президент решает отправиться на каникулы в гордом одиночестве, чтобы отдохнуть в Крыму, а заодно свободно пообщаться с народом. Понимая, что остаться инкогнито и улизнуть от заботливых коллег будет сложно, он прибегает к услугам гримера. Но его новый облик точь-в-точь совпадает с наружностью Валерия из N-ска, который скрывается от коллекторов по путевке матери в крымском санатории…",2018,Россия,"«Есть дороги, а есть пути!»","Олег Васильков, Анна Цуканова-Котт, Настасья Самбурская, Дмитрий Грачев, Татьяна Орлова, Евгений Сидихин, Александр Самойленко, Сергей Степин, Сергей Рудзевич, Кирилл Васильев",Илья Шерстобитов,"Ольга Погодина-Кузмина, Оганес Григорян, Илья Шерстобитов","Ольга Андрианова, Илья Шерстобитов, Эдуард Алиев",Андрей Найденов,Владимир Подгорецкий,"Денис Токарев, Мария Турская, Анна Беленькая",Николай Викторов,комедия,{},None,None,None,779987,690196,,5.605,13942,None,None,105,None,,,,FALSE,(),#N/A,29.3.2018,None :,$690 196,None,#N/A,#N/A
Танки,1046545,Танки,,"На пороге войны с фашистской Германией инженер Михаил Кошкин разрабатывает прототип нового инновационного танка Т-34. Чтобы доказать уникальность боевой машины, Кошкин и его команда отправляются в Москву на танках своим ходом. Но вскоре пробег превращается в непредсказуемую гонку, где бездорожье лишь меньшее из зол… Пройдя череду опасных приключений и благодаря безупречным техническим и боевым качествам новых танков, героям удается одержать верх над преследователями и доказать превосходство Т-34.",2018,Россия,«Первые непобедимые»,"Андрей Мерзликин, Аглая Тарасова, Сергей Стукалов, Антон Филипенко, Алексей Овсянников, Дмитрий Поднозов, Георги Майсурадзе, Владимир Верёвочкин, Дмитрий Цуцкин, Андрей Дежонов",Ким Дружинин,Андрей Назаров,"Дмитрий Щербанов, Олег Антипов",Дмитрий Трифонов,Михаил Костылев,Александр Суворов,,"приключения, история, военный",{},None,None,None,1591172,1589743,,5.674,22450,None,None,95,None,,,,FALSE,(),15.3.2019,26.4.2018,None :,$1 589 743,None,11-2019,205
За бортом,493384,За бортом,Overboard,"Леонардо, капризный плейбой-миллионер, однажды вываливается за борт своей яхты. После падения он теряет память, попадает в больницу, а разносчица пиццы Кейт, страстно желая отомстить парню за хамство, уверяет его, что он — её муж и отец троих детей. Чем обернется эта авантюра? И сколько шагов от ненависти до любви?",2018,"США, Мексика",«Она его сделала!»,"Эухенио Дербес, Анна Фэрис, Ева Лонгория, Джон Ханна, Свузи Кёрц, Мэл Родригез, Джош Сегарра, Ханна Нордберг, Аливия Элин Линд, Пэйтон Лепински",Роб Гринберг,"Лесли Диксон, Боб Фишер, Роб Гринберг","Эухенио Дербес, Боб Фишер, Брендан Фергюсон",Майкл Баррет,Лайл Уоркмэн,"Брент Томас, Шеннон Гроувер, Карин Носелла",Ли Хэксалл,комедия,{},12000000,None,50316123,680042,91244913,,6.262,16960,None,None,112,None,,,,FALSE,(),30.4.2018,17.5.2018,None,$12 000 000,None,18-2018,160
Секса не будет!!!,719155,Секса не будет!!!,Blockers,"У трех подруг грандиозные планы на выпускной. Случайно узнав об этом, их родители решают во что бы то ни стало предотвратить надвигающуюся с их точки зрения катастрофу.",2018,США,"«Родители умеют обламывать, как никто другой»","Лесли Манн, Айк Баринхолц, Джон Сина, Кэтрин Ньютон, Джеральдин Висванатхан, Гидеон Адлон, Рамона Янг, Грэм Филлипс, Майлз Роббинс, Джимми Беллинджер",Кэй Кэннон,"Брайан Кехо, Джим Кехо","Крис Фентон, Эван Голдберг, Джон Харвитц",Расс Т. Олсоубрук,Матео Мессина,"Тереза Аврам, Брэндон Тоннер-Коннолли, Хезер Р. Дюма",Стэйси Шредер,комедия,{},21000000,None,60311495,1581594,94017294,,5.777,14663,None,None,102,None,,,,FALSE,(),10.3.2018,24.5.2018,None,$21 000 000,"зрителям, достигшим 18 лет",10-2018,152
Фото на память,1108400,Фото на память,,"Неожиданная авария заставляет компанию молодых людей свернуть в старый дом, где, к своему удивлению, среди множества жутких фотографий они находят снимок их разбитого автомобиля. К тому же в одной из комнат обнаруживается старинный фотоаппарат, на который, возможно, и сделаны страшные снимки. Молодые люди оказываются втянуты в несущую смерть кровавую карусель… Убивает ли фотоаппарат? Случайны ли происходящие с ними события? Всё это предстоит выяснить оказавшимся в безвыходной ситуации героям.",2018,Россия,«Приготовьтесь! Сейчас вылетит смерть...»,"Ирина Темичева, Анастасия Уколова, Софья Зайка, Санжар Мади, Гарик Петросян, Степан Юрпалов, Егор Харламов, Евгений Коряковский, Николай Козак, Ирина Шеянова",Антон Зенкович,Виктор Бондарюк,"Гевонд Андреасян, Сарик Андреасян, Армен Ананикян",Антон Зенкович,Марк Дорбский,"Александра Фатина, Евгения Царько",Георгий Исаакян,"триллер, ужасы",{},None,None,None,589941,737872,,3.881,9207,None,None,73,None,,,,FALSE,(),22.6.2018,14.6.2018,172 тыс.,23 000 000 руб.,None,25-2018,167
